frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.616,255.00,255.00,3.600,"(216, 414, 322, 521)"
1,0.682,255.00,255.00,3.600,"(216, 414, 322, 521)"
2,0.741,255.00,255.00,3.270,"(216, 414, 322, 521)"
3,0.801,255.00,255.00,0.564,"(216, 414, 322, 521)"
4,0.859,255.00,255.00,4.380,"(216, 414, 322, 521)"
5,0.921,255.00,255.00,4.253,"(216, 414, 322, 521)"
6,0.979,123.10,123.46,0.000,"(216, 414, 322, 521)"
7,1.037,123.10,123.44,0.000,"(216, 414, 322, 521)"
8,1.096,57.45,57.59,0.034,"(216, 414, 322, 521)"
9,1.155,54.83,54.97,0.013,"(216, 414, 322, 521)"
10,1.214,54.81,54.93,0.005,"(216, 414, 322, 521)"
11,1.270,54.82,54.94,0.033,"(216, 414, 322, 521)"
12,1.327,54.66,54.80,0.021,"(216, 414, 322, 521)"
13,1.386,54.80,54.92,0.002,"(216, 414, 322, 521)"
14,1.455,54.84,54.98,0.001,"(216, 414, 322, 521)"
15,1.516,54.66,54.79,0.000,"(216, 414, 322, 521)"
16,1.577,54.86,54.98,0.010,"(216, 414, 322, 521)"
17,1.636,54.66,54.78,0.001,"(216, 414, 322, 521)"
18,1.696,54.75,54.88,0.002,"(216, 414, 322, 521)"
19,1.756,54.85,54.98,0.000,"(216, 414, 322, 521)"
20,1.815,54.73,54.86,0.001,"(216, 414, 322, 521)"
21,1.876,54.86,54.99,0.000,"(216, 414, 322, 521)"
22,1.934,54.71,54.83,0.010,"(216, 414, 322, 521)"
23,1.993,54.71,54.83,0.003,"(216, 414, 322, 521)"
24,2.050,54.86,54.99,0.000,"(216, 414, 322, 521)"
25,2.108,54.71,54.83,0.000,"(216, 414, 322, 521)"
26,2.165,54.89,55.02,0.001,"(216, 414, 322, 521)"
27,2.221,54.74,54.86,0.002,"(216, 414, 322, 521)"
28,2.283,54.86,54.99,0.006,"(216, 414, 322, 521)"
29,2.341,54.76,54.88,0.010,"(216, 414, 322, 521)"
30,2.399,54.69,54.81,0.001,"(216, 414, 322, 521)"
31,2.458,54.88,55.01,0.003,"(216, 414, 322, 521)"
32,2.518,54.76,54.89,0.039,"(216, 414, 322, 521)"
33,2.576,54.86,54.98,0.000,"(216, 414, 322, 521)"
34,2.636,54.79,54.91,0.000,"(216, 414, 322, 521)"
35,2.695,54.68,54.80,0.002,"(216, 414, 322, 521)"
36,2.752,54.84,54.96,0.021,"(216, 414, 322, 521)"
37,2.810,54.65,54.78,0.002,"(216, 414, 322, 521)"
38,2.868,54.82,54.94,0.001,"(216, 414, 322, 521)"
39,2.925,54.80,54.92,0.000,"(216, 414, 322, 521)"
40,2.982,54.81,54.93,0.015,"(216, 414, 322, 521)"
41,3.040,54.79,54.92,0.003,"(216, 414, 322, 521)"
42,3.099,54.66,54.79,0.020,"(216, 414, 322, 521)"
43,3.158,54.82,54.94,0.013,"(216, 414, 322, 521)"
44,3.216,54.68,54.81,0.000,"(216, 414, 322, 521)"
45,3.274,54.78,54.91,0.023,"(216, 414, 322, 521)"
46,3.335,54.82,54.95,0.010,"(216, 414, 322, 521)"
47,3.394,54.66,54.79,0.004,"(216, 414, 322, 521)"
48,3.452,54.75,54.87,0.001,"(216, 414, 322, 521)"
49,3.513,54.67,54.79,0.003,"(216, 414, 322, 521)"
50,3.572,54.77,54.89,0.000,"(216, 414, 322, 521)"
51,3.630,54.85,54.98,0.000,"(216, 414, 322, 521)"
52,3.688,54.67,54.80,0.070,"(216, 414, 322, 521)"
53,3.749,54.86,54.99,0.039,"(216, 414, 322, 521)"
54,3.808,54.67,54.80,0.000,"(216, 414, 322, 521)"
55,3.866,54.75,54.87,0.001,"(216, 414, 322, 521)"
56,3.925,54.84,54.96,0.004,"(216, 414, 322, 521)"
57,3.983,54.73,54.86,0.006,"(216, 414, 322, 521)"
58,4.042,54.86,54.99,0.031,"(216, 414, 322, 521)"
59,4.100,54.70,54.82,0.000,"(216, 414, 322, 521)"
60,4.158,54.74,54.88,0.009,"(216, 414, 322, 521)"
61,4.215,54.74,54.87,0.000,"(216, 414, 322, 521)"
62,4.276,54.80,54.94,0.000,"(216, 414, 322, 521)"
63,4.333,54.92,55.06,0.020,"(216, 414, 322, 521)"
64,4.393,54.84,54.96,0.002,"(216, 414, 322, 521)"
65,4.453,54.75,54.88,0.000,"(216, 414, 322, 521)"
66,4.509,54.77,54.90,0.029,"(216, 414, 322, 521)"
67,4.568,54.68,54.81,0.011,"(216, 414, 322, 521)"
68,4.627,54.74,54.87,0.000,"(216, 414, 322, 521)"
69,4.685,54.59,54.72,0.001,"(216, 414, 322, 521)"
70,4.746,54.61,54.74,0.001,"(216, 414, 322, 521)"
71,4.805,54.47,54.60,0.002,"(216, 414, 322, 521)"
72,4.865,54.29,54.41,0.024,"(216, 414, 322, 521)"
73,4.925,54.38,54.50,0.002,"(216, 414, 322, 521)"
74,4.985,54.20,54.32,0.006,"(216, 414, 322, 521)"
75,5.044,54.23,54.36,0.000,"(216, 414, 322, 521)"
76,5.102,54.12,54.25,0.000,"(216, 414, 322, 521)"
77,5.161,54.13,54.25,0.000,"(216, 414, 322, 521)"
78,5.218,54.34,54.46,0.007,"(216, 414, 322, 521)"
79,5.278,54.27,54.39,0.000,"(216, 414, 322, 521)"
80,5.338,54.43,54.56,0.000,"(216, 414, 322, 521)"
81,5.396,54.39,54.52,0.002,"(216, 414, 322, 521)"
82,5.455,54.18,54.31,0.000,"(216, 414, 322, 521)"
83,5.514,54.31,54.45,0.001,"(216, 414, 322, 521)"
84,5.573,54.16,54.29,0.012,"(216, 414, 322, 521)"
85,5.632,54.17,54.31,0.135,"(216, 414, 322, 521)"
86,5.691,54.16,54.30,0.001,"(216, 414, 322, 521)"
87,5.750,54.09,54.23,0.000,"(216, 414, 322, 521)"
88,5.809,54.12,54.27,0.001,"(216, 414, 322, 521)"
89,5.868,53.96,54.10,0.001,"(216, 414, 322, 521)"
90,5.927,53.98,54.13,0.139,"(216, 414, 322, 521)"
91,5.984,53.92,54.07,0.011,"(216, 414, 322, 521)"
92,6.043,53.82,54.00,0.218,"(216, 414, 322, 521)"
93,6.102,53.91,54.08,0.014,"(216, 414, 322, 521)"
94,6.162,53.79,53.95,0.238,"(216, 414, 322, 521)"
95,6.221,53.92,54.09,0.003,"(216, 414, 322, 521)"
96,6.281,53.82,53.99,0.045,"(216, 414, 322, 521)"
97,6.342,53.88,54.03,0.164,"(216, 414, 322, 521)"
98,6.400,53.91,54.07,0.068,"(216, 414, 322, 521)"
99,6.457,53.77,53.93,0.030,"(216, 414, 322, 521)"
