frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.728,124.15,123.16,0.042,"(213, 354, 318, 521)"
1,0.778,124.15,123.16,0.042,"(213, 354, 318, 521)"
2,0.834,124.15,123.16,0.042,"(213, 354, 318, 521)"
3,0.892,124.15,123.16,0.042,"(213, 354, 318, 521)"
4,0.945,59.89,59.39,0.047,"(213, 354, 318, 521)"
5,0.997,59.87,59.36,0.064,"(213, 354, 318, 521)"
6,1.047,59.71,59.21,0.061,"(213, 354, 318, 521)"
7,1.098,56.23,55.77,0.061,"(213, 354, 318, 521)"
8,1.149,53.23,52.81,0.068,"(213, 354, 318, 521)"
9,1.200,53.09,52.67,0.049,"(213, 354, 318, 521)"
10,1.251,53.23,52.81,0.057,"(213, 354, 318, 521)"
11,1.302,53.09,52.66,0.063,"(213, 354, 318, 521)"
12,1.355,53.24,52.82,0.048,"(213, 354, 318, 521)"
13,1.405,53.08,52.66,0.059,"(213, 354, 318, 521)"
14,1.456,53.27,52.86,0.050,"(213, 354, 318, 521)"
15,1.507,53.10,52.68,0.043,"(213, 354, 318, 521)"
16,1.558,53.33,52.90,0.052,"(213, 354, 318, 521)"
17,1.606,53.11,52.69,0.047,"(213, 354, 318, 521)"
18,1.657,53.33,52.91,0.067,"(213, 354, 318, 521)"
19,1.706,53.15,52.73,0.067,"(213, 354, 318, 521)"
20,1.754,53.34,52.92,0.059,"(213, 354, 318, 521)"
21,1.804,53.13,52.71,0.042,"(213, 354, 318, 521)"
22,1.854,53.35,52.93,0.070,"(213, 354, 318, 521)"
23,1.901,53.15,52.73,0.071,"(213, 354, 318, 521)"
24,1.948,53.36,52.94,0.068,"(213, 354, 318, 521)"
25,1.997,53.14,52.72,0.055,"(213, 354, 318, 521)"
26,2.044,53.37,52.95,0.069,"(213, 354, 318, 521)"
27,2.090,53.19,52.77,0.060,"(213, 354, 318, 521)"
28,2.139,53.38,52.96,0.040,"(213, 354, 318, 521)"
29,2.185,53.18,52.76,0.074,"(213, 354, 318, 521)"
30,2.236,53.40,52.97,0.044,"(213, 354, 318, 521)"
31,2.288,53.16,52.74,0.071,"(213, 354, 318, 521)"
32,2.337,53.35,52.93,0.057,"(213, 354, 318, 521)"
33,2.389,53.14,52.72,0.042,"(213, 354, 318, 521)"
34,2.439,53.39,52.97,0.055,"(213, 354, 318, 521)"
35,2.491,53.16,52.74,0.066,"(213, 354, 318, 521)"
36,2.541,53.39,52.97,0.069,"(213, 354, 318, 521)"
37,2.591,53.13,52.71,0.058,"(213, 354, 318, 521)"
38,2.641,53.37,52.95,0.051,"(213, 354, 318, 521)"
39,2.692,53.16,52.73,0.067,"(213, 354, 318, 521)"
40,2.742,53.36,52.93,0.045,"(213, 354, 318, 521)"
41,2.792,53.15,52.72,0.064,"(213, 354, 318, 521)"
42,2.842,53.35,52.94,0.067,"(213, 354, 318, 521)"
43,2.893,53.16,52.74,0.068,"(213, 354, 318, 521)"
44,2.941,53.35,52.93,0.064,"(213, 354, 318, 521)"
45,2.992,53.12,52.70,0.047,"(213, 354, 318, 521)"
46,3.037,53.32,52.90,0.044,"(213, 354, 318, 521)"
47,3.091,53.12,52.70,0.078,"(213, 354, 318, 521)"
48,3.143,53.29,52.86,0.052,"(213, 354, 318, 521)"
