frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.695,0.00,254.97,0.034,"(212, 318, 321, 524)"
1,0.743,0.00,254.97,0.034,"(212, 318, 321, 524)"
2,0.792,0.00,254.97,0.034,"(212, 318, 321, 524)"
3,0.842,0.00,254.97,0.034,"(212, 318, 321, 524)"
4,0.890,0.00,254.97,0.034,"(212, 318, 321, 524)"
5,0.937,0.00,254.97,0.034,"(212, 318, 321, 524)"
6,0.986,0.00,153.52,0.034,"(212, 318, 321, 524)"
7,1.035,0.00,153.70,0.034,"(212, 318, 321, 524)"
8,1.085,0.00,153.61,0.034,"(212, 318, 321, 524)"
9,1.133,0.00,67.86,0.034,"(212, 318, 321, 524)"
10,1.181,0.00,67.98,0.034,"(212, 318, 321, 524)"
11,1.230,0.00,63.90,0.034,"(212, 318, 321, 524)"
12,1.278,0.00,64.01,0.034,"(212, 318, 321, 524)"
13,1.328,0.00,63.95,0.034,"(212, 318, 321, 524)"
14,1.378,0.00,64.04,0.034,"(212, 318, 321, 524)"
15,1.425,0.00,64.12,0.034,"(212, 318, 321, 524)"
16,1.473,0.00,64.04,0.034,"(212, 318, 321, 524)"
17,1.522,0.00,64.10,0.034,"(212, 318, 321, 524)"
18,1.570,0.00,64.04,0.034,"(212, 318, 321, 524)"
19,1.617,0.00,64.11,0.034,"(212, 318, 321, 524)"
20,1.665,0.00,64.05,0.034,"(212, 318, 321, 524)"
21,1.715,0.00,64.09,0.034,"(212, 318, 321, 524)"
22,1.763,0.00,64.05,0.034,"(212, 318, 321, 524)"
23,1.810,0.00,64.10,0.034,"(212, 318, 321, 524)"
24,1.858,0.00,63.94,0.034,"(212, 318, 321, 524)"
25,1.907,0.00,64.09,0.034,"(212, 318, 321, 524)"
26,1.954,0.00,63.95,0.034,"(212, 318, 321, 524)"
27,2.003,0.00,64.18,0.034,"(212, 318, 321, 524)"
28,2.053,0.00,64.03,0.034,"(212, 318, 321, 524)"
29,2.100,0.00,64.18,0.034,"(212, 318, 321, 524)"
30,2.149,0.00,64.04,0.034,"(212, 318, 321, 524)"
31,2.197,0.00,64.26,0.034,"(212, 318, 321, 524)"
32,2.246,0.00,64.20,0.034,"(212, 318, 321, 524)"
33,2.295,0.00,64.37,0.034,"(212, 318, 321, 524)"
34,2.342,0.00,64.42,0.034,"(212, 318, 321, 524)"
35,2.398,0.00,64.57,0.034,"(212, 318, 321, 524)"
36,2.444,0.00,64.40,0.034,"(212, 318, 321, 524)"
37,2.494,0.00,64.49,0.034,"(212, 318, 321, 524)"
38,2.542,0.00,64.30,0.034,"(212, 318, 321, 524)"
39,2.590,0.00,64.38,0.034,"(212, 318, 321, 524)"
40,2.637,0.00,64.12,0.034,"(212, 318, 321, 524)"
41,2.687,0.00,64.22,0.034,"(212, 318, 321, 524)"
42,2.736,0.00,64.00,0.034,"(212, 318, 321, 524)"
43,2.783,0.00,64.03,0.034,"(212, 318, 321, 524)"
44,2.831,0.00,63.89,0.034,"(212, 318, 321, 524)"
45,2.881,0.00,63.96,0.034,"(212, 318, 321, 524)"
