frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.695,92.07,91.88,0.008,"(216, 392, 318, 529)"
1,0.741,92.07,91.88,0.008,"(216, 392, 318, 529)"
2,0.782,92.07,91.88,0.008,"(216, 392, 318, 529)"
3,0.822,92.07,91.88,0.008,"(216, 392, 318, 529)"
4,0.860,92.07,91.88,0.006,"(216, 392, 318, 529)"
5,0.903,92.07,91.88,0.654,"(216, 392, 318, 529)"
6,0.940,92.07,91.88,0.008,"(216, 392, 318, 529)"
7,0.978,91.83,91.61,0.013,"(216, 392, 318, 529)"
8,1.017,91.88,91.67,0.007,"(216, 392, 318, 529)"
9,1.056,91.80,91.59,0.010,"(216, 392, 318, 529)"
10,1.094,91.90,91.68,0.011,"(216, 392, 318, 529)"
11,1.133,51.25,50.96,0.004,"(216, 392, 318, 529)"
12,1.171,51.36,51.07,0.012,"(216, 392, 318, 529)"
13,1.210,48.56,48.29,0.011,"(216, 392, 318, 529)"
14,1.248,48.61,48.34,0.011,"(216, 392, 318, 529)"
15,1.286,48.69,48.43,0.002,"(216, 392, 318, 529)"
16,1.324,48.56,48.29,0.008,"(216, 392, 318, 529)"
17,1.362,48.65,48.37,0.005,"(216, 392, 318, 529)"
18,1.401,48.56,48.28,0.005,"(216, 392, 318, 529)"
19,1.438,48.63,48.36,0.011,"(216, 392, 318, 529)"
20,1.478,48.66,48.40,0.006,"(216, 392, 318, 529)"
21,1.516,48.58,48.31,0.008,"(216, 392, 318, 529)"
22,1.556,48.61,48.33,0.018,"(216, 392, 318, 529)"
23,1.595,48.70,48.44,0.008,"(216, 392, 318, 529)"
24,1.633,48.64,48.38,0.005,"(216, 392, 318, 529)"
25,1.672,48.69,48.42,0.004,"(216, 392, 318, 529)"
26,1.709,48.59,48.31,0.004,"(216, 392, 318, 529)"
27,1.751,48.63,48.36,0.004,"(216, 392, 318, 529)"
28,1.793,48.70,48.43,0.001,"(216, 392, 318, 529)"
29,1.833,48.63,48.36,0.013,"(216, 392, 318, 529)"
30,1.872,48.68,48.41,0.004,"(216, 392, 318, 529)"
31,1.910,48.54,48.27,0.005,"(216, 392, 318, 529)"
32,1.950,48.61,48.34,0.021,"(216, 392, 318, 529)"
33,1.988,48.60,48.32,0.001,"(216, 392, 318, 529)"
34,2.027,48.50,48.22,0.002,"(216, 392, 318, 529)"
35,2.067,48.62,48.34,0.004,"(216, 392, 318, 529)"
36,2.105,48.46,48.18,0.003,"(216, 392, 318, 529)"
37,2.143,48.56,48.29,0.013,"(216, 392, 318, 529)"
38,2.182,48.57,48.29,0.009,"(216, 392, 318, 529)"
39,2.220,48.48,48.19,0.004,"(216, 392, 318, 529)"
40,2.258,48.54,48.26,0.004,"(216, 392, 318, 529)"
41,2.295,48.60,48.32,0.006,"(216, 392, 318, 529)"
42,2.333,48.56,48.28,0.013,"(216, 392, 318, 529)"
43,2.372,48.61,48.34,0.009,"(216, 392, 318, 529)"
44,2.411,48.49,48.21,0.014,"(216, 392, 318, 529)"
45,2.451,48.58,48.30,0.008,"(216, 392, 318, 529)"
46,2.491,48.65,48.38,0.002,"(216, 392, 318, 529)"
47,2.530,48.62,48.35,0.008,"(216, 392, 318, 529)"
48,2.568,48.66,48.39,0.013,"(216, 392, 318, 529)"
49,2.606,48.53,48.24,0.000,"(216, 392, 318, 529)"
50,2.646,48.64,48.37,0.001,"(216, 392, 318, 529)"
51,2.684,48.63,48.35,0.003,"(216, 392, 318, 529)"
52,2.723,48.51,48.24,0.003,"(216, 392, 318, 529)"
53,2.763,48.57,48.29,0.012,"(216, 392, 318, 529)"
54,2.801,48.47,48.19,0.005,"(216, 392, 318, 529)"
55,2.840,48.54,48.26,0.008,"(216, 392, 318, 529)"
56,2.879,48.58,48.30,0.011,"(216, 392, 318, 529)"
57,2.918,48.45,48.17,0.009,"(216, 392, 318, 529)"
58,2.957,48.52,48.24,0.008,"(216, 392, 318, 529)"
59,2.996,48.56,48.28,0.008,"(216, 392, 318, 529)"
60,3.034,48.57,48.29,0.002,"(216, 392, 318, 529)"
61,3.073,48.57,48.29,0.003,"(216, 392, 318, 529)"
62,3.111,48.46,48.17,0.005,"(216, 392, 318, 529)"
63,3.148,48.56,48.28,0.008,"(216, 392, 318, 529)"
64,3.186,48.59,48.32,0.009,"(216, 392, 318, 529)"
65,3.224,48.51,48.23,0.003,"(216, 392, 318, 529)"
66,3.263,48.63,48.35,0.000,"(216, 392, 318, 529)"
67,3.302,48.56,48.28,0.003,"(216, 392, 318, 529)"
68,3.342,48.69,48.42,0.015,"(216, 392, 318, 529)"
69,3.381,48.68,48.41,0.003,"(216, 392, 318, 529)"
70,3.418,48.62,48.35,0.006,"(216, 392, 318, 529)"
71,3.458,48.72,48.45,0.005,"(216, 392, 318, 529)"
72,3.496,48.82,48.56,0.005,"(216, 392, 318, 529)"
73,3.534,48.96,48.70,0.008,"(216, 392, 318, 529)"
74,3.572,49.01,48.75,0.004,"(216, 392, 318, 529)"
75,3.611,47.50,47.25,0.005,"(216, 392, 318, 529)"
76,3.649,47.63,47.38,0.010,"(216, 392, 318, 529)"
77,3.688,47.59,47.35,0.008,"(216, 392, 318, 529)"
78,3.727,47.54,47.28,0.001,"(216, 392, 318, 529)"
79,3.764,47.63,47.38,0.006,"(216, 392, 318, 529)"
80,3.801,47.51,47.26,0.000,"(216, 392, 318, 529)"
81,3.840,47.56,47.31,0.003,"(216, 392, 318, 529)"
82,3.879,47.53,47.28,0.016,"(216, 392, 318, 529)"
83,3.919,47.42,47.17,0.008,"(216, 392, 318, 529)"
84,3.957,47.49,47.24,0.009,"(216, 392, 318, 529)"
85,3.996,47.47,47.23,0.006,"(216, 392, 318, 529)"
86,4.035,47.41,47.15,0.012,"(216, 392, 318, 529)"
87,4.074,47.35,47.10,0.002,"(216, 392, 318, 529)"
88,4.111,47.28,47.02,0.000,"(216, 392, 318, 529)"
89,4.151,47.34,47.09,0.002,"(216, 392, 318, 529)"
90,4.189,47.31,47.06,0.017,"(216, 392, 318, 529)"
91,4.228,47.21,46.95,0.005,"(216, 392, 318, 529)"
92,4.272,47.28,47.03,0.000,"(216, 392, 318, 529)"
93,4.311,47.22,46.97,0.006,"(216, 392, 318, 529)"
94,4.350,47.28,47.02,0.009,"(216, 392, 318, 529)"
95,4.390,47.26,47.00,0.009,"(216, 392, 318, 529)"
96,4.429,47.17,46.91,0.015,"(216, 392, 318, 529)"
97,4.467,47.23,46.98,0.005,"(216, 392, 318, 529)"
98,4.504,47.14,46.88,0.002,"(216, 392, 318, 529)"
99,4.543,47.24,46.98,0.007,"(216, 392, 318, 529)"
100,4.581,47.20,46.94,0.003,"(216, 392, 318, 529)"
101,4.621,47.13,46.87,0.011,"(216, 392, 318, 529)"
102,4.661,47.24,46.99,0.005,"(216, 392, 318, 529)"
103,4.699,47.16,46.91,0.000,"(216, 392, 318, 529)"
104,4.737,47.19,46.94,0.013,"(216, 392, 318, 529)"
105,4.775,47.18,46.93,0.006,"(216, 392, 318, 529)"
106,4.814,47.11,46.84,0.000,"(216, 392, 318, 529)"
107,4.853,47.21,46.95,0.007,"(216, 392, 318, 529)"
108,4.891,47.17,46.92,0.007,"(216, 392, 318, 529)"
109,4.930,47.15,46.89,0.010,"(216, 392, 318, 529)"
110,4.969,47.18,46.93,0.012,"(216, 392, 318, 529)"
111,5.010,47.12,46.87,0.008,"(216, 392, 318, 529)"
112,5.050,47.22,46.97,0.003,"(216, 392, 318, 529)"
113,5.089,47.18,46.92,0.013,"(216, 392, 318, 529)"
114,5.128,47.16,46.89,0.008,"(216, 392, 318, 529)"
115,5.165,47.23,46.98,0.004,"(216, 392, 318, 529)"
116,5.203,47.10,46.84,0.008,"(216, 392, 318, 529)"
117,5.243,47.19,46.93,0.005,"(216, 392, 318, 529)"
118,5.281,47.14,46.89,0.008,"(216, 392, 318, 529)"
119,5.318,47.07,46.81,0.017,"(216, 392, 318, 529)"
120,5.357,47.16,46.90,0.017,"(216, 392, 318, 529)"
121,5.396,47.12,46.86,0.001,"(216, 392, 318, 529)"
122,5.434,47.16,46.91,0.012,"(216, 392, 318, 529)"
123,5.473,47.10,46.84,0.005,"(216, 392, 318, 529)"
124,5.512,47.08,46.82,0.003,"(216, 392, 318, 529)"
125,5.550,47.12,46.87,0.005,"(216, 392, 318, 529)"
126,5.589,47.09,46.83,0.011,"(216, 392, 318, 529)"
127,5.626,47.06,46.81,0.025,"(216, 392, 318, 529)"
128,5.664,47.15,46.89,0.002,"(216, 392, 318, 529)"
129,5.703,47.08,46.82,0.003,"(216, 392, 318, 529)"
130,5.743,47.15,46.89,0.004,"(216, 392, 318, 529)"
131,5.782,47.09,46.83,0.010,"(216, 392, 318, 529)"
132,5.820,47.06,46.80,0.002,"(216, 392, 318, 529)"
133,5.858,47.12,46.86,0.002,"(216, 392, 318, 529)"
134,5.896,47.07,46.82,0.002,"(216, 392, 318, 529)"
135,5.935,47.14,46.89,0.006,"(216, 392, 318, 529)"
136,5.973,47.09,46.86,0.012,"(216, 392, 318, 529)"
137,6.010,47.07,46.82,0.011,"(216, 392, 318, 529)"
138,6.049,47.13,46.90,0.007,"(216, 392, 318, 529)"
139,6.088,47.08,46.85,0.019,"(216, 392, 318, 529)"
140,6.127,47.04,46.81,0.007,"(216, 392, 318, 529)"
141,6.167,47.11,46.87,0.005,"(216, 392, 318, 529)"
142,6.205,47.05,46.82,0.000,"(216, 392, 318, 529)"
143,6.244,47.13,46.90,0.051,"(216, 392, 318, 529)"
144,6.279,47.08,46.83,0.007,"(216, 392, 318, 529)"
145,6.317,47.05,46.79,0.021,"(216, 392, 318, 529)"
146,6.356,47.11,46.86,0.004,"(216, 392, 318, 529)"
147,6.394,47.01,46.75,0.003,"(216, 392, 318, 529)"
148,6.432,46.99,46.74,0.016,"(216, 392, 318, 529)"
149,6.471,47.05,46.81,0.006,"(216, 392, 318, 529)"
150,6.509,47.00,46.74,0.010,"(216, 392, 318, 529)"
151,6.549,47.07,46.81,0.007,"(216, 392, 318, 529)"
152,6.588,47.03,46.77,0.006,"(216, 392, 318, 529)"
153,6.628,46.99,46.72,0.003,"(216, 392, 318, 529)"
154,6.666,47.04,46.78,0.000,"(216, 392, 318, 529)"
155,6.705,46.98,46.72,0.002,"(216, 392, 318, 529)"
156,6.744,47.05,46.78,0.007,"(216, 392, 318, 529)"
157,6.784,46.99,46.73,0.004,"(216, 392, 318, 529)"
158,6.822,47.01,46.75,0.004,"(216, 392, 318, 529)"
159,6.862,47.09,46.84,0.006,"(216, 392, 318, 529)"
160,6.902,47.04,46.80,0.031,"(216, 392, 318, 529)"
161,6.941,47.12,46.88,0.005,"(216, 392, 318, 529)"
162,6.978,47.05,46.80,0.225,"(216, 392, 318, 529)"
163,7.017,47.04,46.79,0.001,"(216, 392, 318, 529)"
164,7.056,47.07,46.82,0.229,"(216, 392, 318, 529)"
165,7.096,46.99,46.74,0.007,"(216, 392, 318, 529)"
166,7.135,46.96,46.70,0.013,"(216, 392, 318, 529)"
167,7.173,46.95,46.68,0.000,"(216, 392, 318, 529)"
168,7.212,46.94,46.67,0.001,"(216, 392, 318, 529)"
169,7.251,47.02,46.76,0.002,"(216, 392, 318, 529)"
170,7.290,46.93,46.66,0.000,"(216, 392, 318, 529)"
171,7.328,46.92,46.65,0.027,"(216, 392, 318, 529)"
172,7.368,46.95,46.69,0.058,"(216, 392, 318, 529)"
173,7.407,46.91,46.64,0.006,"(216, 392, 318, 529)"
174,7.444,47.00,46.74,0.000,"(216, 392, 318, 529)"
175,7.482,46.93,46.67,0.000,"(216, 392, 318, 529)"
176,7.524,46.97,46.72,0.007,"(216, 392, 318, 529)"
177,7.566,47.09,46.83,0.000,"(216, 392, 318, 529)"
178,7.608,47.08,46.83,0.004,"(216, 392, 318, 529)"
179,7.651,47.14,46.91,0.098,"(216, 392, 318, 529)"
180,7.697,47.08,46.84,0.009,"(216, 392, 318, 529)"
181,7.735,47.08,46.82,0.461,"(216, 392, 318, 529)"
182,7.775,46.88,46.61,0.001,"(216, 392, 318, 529)"
183,7.813,46.86,46.61,0.010,"(216, 392, 318, 529)"
184,7.853,46.90,46.64,0.002,"(216, 392, 318, 529)"
185,7.897,46.83,46.58,0.009,"(216, 392, 318, 529)"
186,7.940,46.90,46.65,0.010,"(216, 392, 318, 529)"
187,7.981,46.83,46.58,0.003,"(216, 392, 318, 529)"
188,8.020,46.83,46.58,0.001,"(216, 392, 318, 529)"
189,8.060,46.97,46.71,0.022,"(216, 392, 318, 529)"
190,8.101,46.98,46.72,0.000,"(216, 392, 318, 529)"
191,8.141,47.09,46.81,0.003,"(216, 392, 318, 529)"
192,8.179,46.98,46.70,0.003,"(216, 392, 318, 529)"
193,8.219,47.00,46.74,0.002,"(216, 392, 318, 529)"
194,8.258,47.04,46.78,0.032,"(216, 392, 318, 529)"
195,8.296,46.96,46.68,0.006,"(216, 392, 318, 529)"
196,8.335,47.03,46.76,0.004,"(216, 392, 318, 529)"
197,8.373,46.99,46.72,0.005,"(216, 392, 318, 529)"
198,8.412,46.98,46.72,0.008,"(216, 392, 318, 529)"
199,8.451,47.04,46.77,0.005,"(216, 392, 318, 529)"
