frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.682,255.00,255.00,0.523,"(221, 414, 317, 521)"
1,0.750,255.00,255.00,0.542,"(221, 414, 317, 521)"
2,0.809,255.00,255.00,1.387,"(221, 414, 317, 521)"
3,0.863,255.00,255.00,0.370,"(221, 414, 317, 521)"
4,0.916,255.00,255.00,0.440,"(221, 414, 317, 521)"
5,0.972,255.00,255.00,0.536,"(221, 414, 317, 521)"
6,1.025,132.51,128.81,0.000,"(221, 414, 317, 521)"
7,1.081,60.76,59.21,0.029,"(221, 414, 317, 521)"
8,1.137,60.61,59.06,0.000,"(221, 414, 317, 521)"
9,1.193,56.48,55.08,0.004,"(221, 414, 317, 521)"
10,1.248,56.35,54.94,0.011,"(221, 414, 317, 521)"
11,1.299,56.46,55.05,0.008,"(221, 414, 317, 521)"
12,1.351,56.32,54.92,0.003,"(221, 414, 317, 521)"
13,1.403,56.44,55.04,0.007,"(221, 414, 317, 521)"
14,1.457,56.32,54.92,0.015,"(221, 414, 317, 521)"
15,1.511,56.32,54.92,0.003,"(221, 414, 317, 521)"
16,1.566,56.31,54.89,0.023,"(221, 414, 317, 521)"
17,1.619,56.32,54.91,0.016,"(221, 414, 317, 521)"
18,1.672,56.29,54.89,0.014,"(221, 414, 317, 521)"
19,1.729,56.29,54.89,0.001,"(221, 414, 317, 521)"
20,1.784,56.45,55.05,0.036,"(221, 414, 317, 521)"
21,1.835,56.29,54.88,0.015,"(221, 414, 317, 521)"
22,1.890,56.42,55.02,0.024,"(221, 414, 317, 521)"
23,1.942,56.32,54.91,0.020,"(221, 414, 317, 521)"
24,1.996,56.42,55.01,0.001,"(221, 414, 317, 521)"
25,2.053,56.24,54.82,0.005,"(221, 414, 317, 521)"
26,2.109,56.35,54.94,0.001,"(221, 414, 317, 521)"
27,2.164,56.22,54.81,0.024,"(221, 414, 317, 521)"
28,2.219,56.21,54.80,0.004,"(221, 414, 317, 521)"
29,2.275,56.21,54.79,0.031,"(221, 414, 317, 521)"
30,2.325,56.19,54.77,0.002,"(221, 414, 317, 521)"
31,2.378,56.31,54.90,0.019,"(221, 414, 317, 521)"
32,2.432,56.18,54.77,0.004,"(221, 414, 317, 521)"
33,2.487,56.35,54.95,0.005,"(221, 414, 317, 521)"
34,2.539,56.26,54.86,0.011,"(221, 414, 317, 521)"
35,2.594,56.50,55.10,0.015,"(221, 414, 317, 521)"
36,2.650,56.57,55.18,0.011,"(221, 414, 317, 521)"
37,2.705,56.72,55.33,0.008,"(221, 414, 317, 521)"
38,2.759,56.65,55.26,0.009,"(221, 414, 317, 521)"
39,2.813,56.44,55.05,0.011,"(221, 414, 317, 521)"
40,2.869,56.41,55.02,0.028,"(221, 414, 317, 521)"
41,2.923,56.20,54.83,0.003,"(221, 414, 317, 521)"
42,2.979,56.22,54.85,0.009,"(221, 414, 317, 521)"
43,3.034,56.05,54.68,0.004,"(221, 414, 317, 521)"
44,3.089,56.09,54.71,0.006,"(221, 414, 317, 521)"
45,3.143,55.91,54.54,0.000,"(221, 414, 317, 521)"
46,3.198,56.03,54.67,0.010,"(221, 414, 317, 521)"
47,3.254,55.94,54.57,0.023,"(221, 414, 317, 521)"
48,3.308,56.03,54.66,0.035,"(221, 414, 317, 521)"
49,3.362,55.92,54.56,0.008,"(221, 414, 317, 521)"
50,3.416,55.90,54.53,0.034,"(221, 414, 317, 521)"
51,3.470,55.96,54.59,0.004,"(221, 414, 317, 521)"
52,3.525,55.80,54.42,0.002,"(221, 414, 317, 521)"
53,3.579,55.89,54.51,0.041,"(221, 414, 317, 521)"
54,3.633,55.71,54.33,0.004,"(221, 414, 317, 521)"
55,3.688,55.61,54.22,0.044,"(221, 414, 317, 521)"
56,3.742,55.55,54.17,0.004,"(221, 414, 317, 521)"
57,3.797,55.63,54.22,0.008,"(221, 414, 317, 521)"
58,3.851,55.37,53.94,0.000,"(221, 414, 317, 521)"
59,3.905,55.38,53.96,0.001,"(221, 414, 317, 521)"
60,3.959,55.41,54.02,0.037,"(221, 414, 317, 521)"
61,4.014,55.65,54.26,0.004,"(221, 414, 317, 521)"
62,4.069,55.80,54.42,0.000,"(221, 414, 317, 521)"
63,4.123,55.78,54.40,0.001,"(221, 414, 317, 521)"
64,4.177,55.86,54.48,0.021,"(221, 414, 317, 521)"
65,4.230,55.78,54.40,0.003,"(221, 414, 317, 521)"
66,4.286,55.85,54.47,0.000,"(221, 414, 317, 521)"
67,4.341,55.74,54.36,0.001,"(221, 414, 317, 521)"
68,4.395,55.77,54.40,0.001,"(221, 414, 317, 521)"
69,4.453,55.73,54.34,0.004,"(221, 414, 317, 521)"
70,4.507,55.71,54.33,0.016,"(221, 414, 317, 521)"
71,4.562,55.73,54.34,0.019,"(221, 414, 317, 521)"
72,4.617,55.59,54.21,0.004,"(221, 414, 317, 521)"
73,4.674,55.71,54.34,0.003,"(221, 414, 317, 521)"
74,4.728,55.71,54.36,0.005,"(221, 414, 317, 521)"
75,4.782,55.77,54.41,0.004,"(221, 414, 317, 521)"
76,4.838,55.67,54.32,0.002,"(221, 414, 317, 521)"
77,4.893,55.75,54.42,0.050,"(221, 414, 317, 521)"
78,4.946,55.66,54.31,0.007,"(221, 414, 317, 521)"
79,5.000,55.68,54.34,0.022,"(221, 414, 317, 521)"
80,5.054,55.58,54.25,0.033,"(221, 414, 317, 521)"
81,5.107,55.60,54.27,0.002,"(221, 414, 317, 521)"
82,5.162,55.65,54.34,0.006,"(221, 414, 317, 521)"
83,5.218,55.58,54.29,0.093,"(221, 414, 317, 521)"
84,5.273,55.68,54.39,0.028,"(221, 414, 317, 521)"
85,5.326,55.59,54.29,0.022,"(221, 414, 317, 521)"
86,5.380,55.65,54.37,0.194,"(221, 414, 317, 521)"
87,5.430,55.55,54.27,0.136,"(221, 414, 317, 521)"
88,5.484,55.52,54.25,0.004,"(221, 414, 317, 521)"
89,5.538,55.42,54.15,0.001,"(221, 414, 317, 521)"
90,5.592,55.45,54.18,0.039,"(221, 414, 317, 521)"
91,5.645,55.37,54.11,0.025,"(221, 414, 317, 521)"
92,5.700,55.42,54.18,0.029,"(221, 414, 317, 521)"
93,5.755,55.48,54.27,0.006,"(221, 414, 317, 521)"
94,5.810,55.40,54.20,0.040,"(221, 414, 317, 521)"
95,5.865,55.42,54.24,0.005,"(221, 414, 317, 521)"
96,5.917,55.31,54.13,0.021,"(221, 414, 317, 521)"
97,5.971,55.40,54.23,0.017,"(221, 414, 317, 521)"
98,6.024,55.32,54.15,0.030,"(221, 414, 317, 521)"
99,6.077,55.38,54.20,0.014,"(221, 414, 317, 521)"
100,6.132,55.22,54.05,0.024,"(221, 414, 317, 521)"
101,6.188,55.27,54.12,0.003,"(221, 414, 317, 521)"
102,6.243,55.26,54.12,0.019,"(221, 414, 317, 521)"
103,6.297,55.25,54.13,0.027,"(221, 414, 317, 521)"
104,6.352,55.30,54.17,0.019,"(221, 414, 317, 521)"
105,6.407,55.22,54.09,0.018,"(221, 414, 317, 521)"
106,6.462,55.30,54.17,0.036,"(221, 414, 317, 521)"
107,6.516,55.13,54.01,0.040,"(221, 414, 317, 521)"
108,6.572,55.24,54.11,0.065,"(221, 414, 317, 521)"
109,6.628,55.08,53.96,0.042,"(221, 414, 317, 521)"
110,6.682,55.10,53.98,0.038,"(221, 414, 317, 521)"
111,6.738,55.15,54.03,0.001,"(221, 414, 317, 521)"
112,6.793,55.14,53.97,0.033,"(221, 414, 317, 521)"
113,6.848,55.14,53.95,0.021,"(221, 414, 317, 521)"
114,6.903,55.26,54.05,0.035,"(221, 414, 317, 521)"
115,6.959,55.29,54.09,0.021,"(221, 414, 317, 521)"
116,7.013,55.13,53.93,0.016,"(221, 414, 317, 521)"
117,7.067,55.25,54.04,0.003,"(221, 414, 317, 521)"
118,7.122,55.17,53.96,0.003,"(221, 414, 317, 521)"
