frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.583,235.63,252.56,0.000,"(214, 422, 320, 528)"
1,0.623,235.63,252.56,0.000,"(214, 422, 320, 528)"
2,0.661,235.63,252.56,0.000,"(214, 422, 320, 528)"
3,0.699,235.63,252.56,0.000,"(214, 422, 320, 528)"
4,0.736,235.63,252.56,0.000,"(214, 422, 320, 528)"
5,0.774,235.65,252.59,0.000,"(214, 422, 320, 528)"
6,0.811,28.02,29.19,0.452,"(214, 422, 320, 528)"
7,0.848,235.67,252.61,0.000,"(214, 422, 320, 528)"
8,0.886,235.70,252.61,0.001,"(214, 422, 320, 528)"
9,0.924,235.73,252.64,0.000,"(214, 422, 320, 528)"
10,0.961,109.01,115.78,0.006,"(214, 422, 320, 528)"
11,0.996,109.03,115.80,0.000,"(214, 422, 320, 528)"
12,1.035,108.92,115.69,0.000,"(214, 422, 320, 528)"
13,1.071,60.12,63.27,0.000,"(214, 422, 320, 528)"
14,1.108,57.04,59.98,0.000,"(214, 422, 320, 528)"
15,1.145,57.05,59.98,0.000,"(214, 422, 320, 528)"
16,1.182,51.47,54.01,0.000,"(214, 422, 320, 528)"
17,1.218,51.45,53.97,0.000,"(214, 422, 320, 528)"
18,1.263,51.56,54.11,0.000,"(214, 422, 320, 528)"
19,1.298,51.44,53.97,0.000,"(214, 422, 320, 528)"
20,1.337,51.47,53.99,0.000,"(214, 422, 320, 528)"
21,1.373,51.58,54.12,0.000,"(214, 422, 320, 528)"
22,1.409,51.42,53.95,0.003,"(214, 422, 320, 528)"
23,1.446,51.50,54.03,0.001,"(214, 422, 320, 528)"
24,1.482,51.45,53.97,0.000,"(214, 422, 320, 528)"
25,1.517,51.49,54.02,0.000,"(214, 422, 320, 528)"
26,1.553,51.58,54.13,0.000,"(214, 422, 320, 528)"
27,1.589,51.43,53.96,0.000,"(214, 422, 320, 528)"
28,1.625,51.49,54.02,0.000,"(214, 422, 320, 528)"
29,1.662,51.55,54.10,0.001,"(214, 422, 320, 528)"
30,1.699,51.43,53.96,0.001,"(214, 422, 320, 528)"
31,1.735,51.53,54.07,0.000,"(214, 422, 320, 528)"
32,1.772,51.52,54.05,0.001,"(214, 422, 320, 528)"
33,1.808,51.40,53.92,0.001,"(214, 422, 320, 528)"
34,1.846,51.50,54.05,0.000,"(214, 422, 320, 528)"
35,1.882,51.56,54.09,0.000,"(214, 422, 320, 528)"
36,1.921,51.53,54.08,0.000,"(214, 422, 320, 528)"
37,1.958,51.49,54.02,0.000,"(214, 422, 320, 528)"
38,1.995,51.41,53.93,0.000,"(214, 422, 320, 528)"
39,2.032,51.52,54.05,0.004,"(214, 422, 320, 528)"
40,2.069,51.48,54.00,0.000,"(214, 422, 320, 528)"
41,2.105,51.39,53.91,0.000,"(214, 422, 320, 528)"
42,2.142,51.51,54.04,0.000,"(214, 422, 320, 528)"
43,2.178,51.48,54.01,0.001,"(214, 422, 320, 528)"
44,2.215,51.37,53.89,0.001,"(214, 422, 320, 528)"
45,2.253,51.44,53.97,0.001,"(214, 422, 320, 528)"
46,2.290,51.36,53.89,0.002,"(214, 422, 320, 528)"
47,2.327,51.51,54.04,0.004,"(214, 422, 320, 528)"
48,2.363,51.45,53.96,0.000,"(214, 422, 320, 528)"
49,2.400,51.37,53.89,0.000,"(214, 422, 320, 528)"
50,2.437,51.48,54.00,0.000,"(214, 422, 320, 528)"
51,2.473,51.42,53.93,0.000,"(214, 422, 320, 528)"
52,2.509,51.35,53.88,0.000,"(214, 422, 320, 528)"
53,2.545,51.49,54.02,0.001,"(214, 422, 320, 528)"
54,2.581,51.39,53.90,0.000,"(214, 422, 320, 528)"
55,2.618,51.51,54.04,0.001,"(214, 422, 320, 528)"
56,2.653,51.40,53.92,0.000,"(214, 422, 320, 528)"
57,2.690,51.39,53.90,0.002,"(214, 422, 320, 528)"
58,2.726,51.49,54.01,0.001,"(214, 422, 320, 528)"
