frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.729,172.33,173.02,0.010,"(220, 316, 317, 526)"
1,0.762,172.33,173.02,0.010,"(220, 316, 317, 526)"
2,0.794,172.33,173.02,0.010,"(220, 316, 317, 526)"
3,0.829,172.33,173.02,0.010,"(220, 316, 317, 526)"
4,0.862,172.33,173.02,0.010,"(220, 316, 317, 526)"
5,0.895,172.36,173.05,0.010,"(220, 316, 317, 526)"
6,0.929,80.89,81.14,0.015,"(220, 316, 317, 526)"
7,0.961,80.90,81.15,0.014,"(220, 316, 317, 526)"
8,0.995,80.84,81.08,0.017,"(220, 316, 317, 526)"
9,1.028,80.51,80.74,0.031,"(220, 316, 317, 526)"
10,1.061,75.40,75.62,0.024,"(220, 316, 317, 526)"
11,1.095,75.36,75.58,0.016,"(220, 316, 317, 526)"
12,1.128,69.96,70.16,0.019,"(220, 316, 317, 526)"
13,1.163,69.90,70.09,0.013,"(220, 316, 317, 526)"
14,1.195,69.87,70.07,0.016,"(220, 316, 317, 526)"
15,1.228,69.97,70.16,0.020,"(220, 316, 317, 526)"
16,1.262,69.93,70.12,0.016,"(220, 316, 317, 526)"
17,1.295,69.86,70.06,0.017,"(220, 316, 317, 526)"
18,1.329,69.95,70.15,0.021,"(220, 316, 317, 526)"
19,1.362,69.86,70.06,0.017,"(220, 316, 317, 526)"
20,1.395,69.83,70.03,0.019,"(220, 316, 317, 526)"
21,1.429,69.93,70.13,0.014,"(220, 316, 317, 526)"
22,1.461,69.87,70.07,0.013,"(220, 316, 317, 526)"
23,1.496,69.86,70.07,0.015,"(220, 316, 317, 526)"
24,1.530,69.96,70.16,0.024,"(220, 316, 317, 526)"
25,1.562,69.85,70.05,0.035,"(220, 316, 317, 526)"
26,1.596,69.84,70.03,0.029,"(220, 316, 317, 526)"
27,1.629,70.00,70.20,0.028,"(220, 316, 317, 526)"
28,1.662,69.89,70.09,0.015,"(220, 316, 317, 526)"
29,1.695,69.88,70.08,0.015,"(220, 316, 317, 526)"
30,1.729,69.99,70.19,0.026,"(220, 316, 317, 526)"
31,1.762,69.91,70.11,0.015,"(220, 316, 317, 526)"
32,1.797,69.87,70.07,0.023,"(220, 316, 317, 526)"
33,1.829,69.97,70.17,0.022,"(220, 316, 317, 526)"
34,1.863,69.87,70.06,0.016,"(220, 316, 317, 526)"
35,1.896,69.90,70.09,0.018,"(220, 316, 317, 526)"
36,1.929,70.00,70.20,0.015,"(220, 316, 317, 526)"
37,1.962,69.90,70.10,0.018,"(220, 316, 317, 526)"
38,1.996,69.89,70.09,0.015,"(220, 316, 317, 526)"
39,2.029,69.99,70.19,0.016,"(220, 316, 317, 526)"
40,2.063,69.90,70.09,0.015,"(220, 316, 317, 526)"
41,2.096,69.90,70.10,0.014,"(220, 316, 317, 526)"
42,2.130,69.99,70.19,0.017,"(220, 316, 317, 526)"
43,2.162,69.91,70.11,0.013,"(220, 316, 317, 526)"
44,2.196,69.93,70.13,0.014,"(220, 316, 317, 526)"
45,2.230,70.03,70.23,0.015,"(220, 316, 317, 526)"
46,2.263,69.94,70.14,0.015,"(220, 316, 317, 526)"
47,2.296,70.01,70.21,0.017,"(220, 316, 317, 526)"
48,2.329,70.15,70.36,0.016,"(220, 316, 317, 526)"
49,2.363,70.04,70.25,0.014,"(220, 316, 317, 526)"
50,2.396,70.10,70.32,0.016,"(220, 316, 317, 526)"
51,2.430,70.25,70.46,0.020,"(220, 316, 317, 526)"
52,2.463,70.17,70.38,0.018,"(220, 316, 317, 526)"
53,2.497,70.18,70.39,0.014,"(220, 316, 317, 526)"
54,2.530,70.32,70.52,0.014,"(220, 316, 317, 526)"
55,2.563,70.23,70.43,0.016,"(220, 316, 317, 526)"
56,2.597,70.22,70.42,0.027,"(220, 316, 317, 526)"
57,2.630,70.30,70.49,0.017,"(220, 316, 317, 526)"
58,2.663,70.17,70.36,0.018,"(220, 316, 317, 526)"
59,2.698,70.20,70.39,0.016,"(220, 316, 317, 526)"
60,2.730,70.20,70.39,0.018,"(220, 316, 317, 526)"
61,2.763,70.06,70.25,0.016,"(220, 316, 317, 526)"
62,2.797,70.11,70.29,0.014,"(220, 316, 317, 526)"
63,2.831,70.11,70.31,0.014,"(220, 316, 317, 526)"
64,2.864,70.01,70.21,0.013,"(220, 316, 317, 526)"
65,2.897,69.97,70.16,0.013,"(220, 316, 317, 526)"
66,2.931,70.00,70.19,0.016,"(220, 316, 317, 526)"
67,2.965,69.85,70.04,0.019,"(220, 316, 317, 526)"
68,2.997,69.89,70.09,0.017,"(220, 316, 317, 526)"
69,3.030,70.00,70.20,0.015,"(220, 316, 317, 526)"
70,3.065,69.85,70.05,0.016,"(220, 316, 317, 526)"
71,3.097,69.91,70.10,0.016,"(220, 316, 317, 526)"
72,3.132,69.87,70.06,0.022,"(220, 316, 317, 526)"
73,3.164,69.74,69.94,0.014,"(220, 316, 317, 526)"
74,3.197,69.82,70.01,0.013,"(220, 316, 317, 526)"
75,3.230,69.80,70.00,0.014,"(220, 316, 317, 526)"
76,3.263,69.69,69.88,0.018,"(220, 316, 317, 526)"
77,3.298,69.73,69.93,0.014,"(220, 316, 317, 526)"
78,3.331,69.72,69.92,0.015,"(220, 316, 317, 526)"
79,3.365,69.58,69.76,0.014,"(220, 316, 317, 526)"
80,3.398,69.32,69.48,0.018,"(220, 316, 317, 526)"
81,3.431,69.40,69.57,0.013,"(220, 316, 317, 526)"
82,3.464,69.31,69.48,0.016,"(220, 316, 317, 526)"
83,3.498,69.33,69.51,0.013,"(220, 316, 317, 526)"
84,3.531,69.24,69.42,0.013,"(220, 316, 317, 526)"
85,3.565,69.01,69.19,0.013,"(220, 316, 317, 526)"
86,3.598,69.10,69.31,0.016,"(220, 316, 317, 526)"
87,3.631,69.35,69.65,0.015,"(220, 316, 317, 526)"
88,3.665,69.30,69.61,0.019,"(220, 316, 317, 526)"
89,3.698,69.48,69.80,0.016,"(220, 316, 317, 526)"
90,3.731,69.48,69.79,0.018,"(220, 316, 317, 526)"
91,3.765,69.42,69.74,0.017,"(220, 316, 317, 526)"
92,3.799,69.51,69.82,0.019,"(220, 316, 317, 526)"
93,3.831,69.50,69.81,0.016,"(220, 316, 317, 526)"
94,3.865,69.33,69.64,0.017,"(220, 316, 317, 526)"
95,3.898,69.44,69.75,0.016,"(220, 316, 317, 526)"
96,3.931,69.51,69.81,0.015,"(220, 316, 317, 526)"
97,3.964,69.36,69.66,0.020,"(220, 316, 317, 526)"
98,4.000,69.68,69.92,0.021,"(220, 316, 317, 526)"
99,4.032,70.10,70.23,0.019,"(220, 316, 317, 526)"
100,4.065,69.97,70.21,0.019,"(220, 316, 317, 526)"
101,4.098,70.03,70.25,0.019,"(220, 316, 317, 526)"
102,4.132,69.97,70.18,0.018,"(220, 316, 317, 526)"
103,4.165,69.91,70.13,0.017,"(220, 316, 317, 526)"
104,4.199,70.05,70.26,0.020,"(220, 316, 317, 526)"
105,4.232,70.01,70.21,0.024,"(220, 316, 317, 526)"
106,4.266,69.95,70.16,0.022,"(220, 316, 317, 526)"
107,4.299,70.03,70.26,0.014,"(220, 316, 317, 526)"
108,4.332,70.01,70.23,0.016,"(220, 316, 317, 526)"
109,4.366,69.84,70.06,0.018,"(220, 316, 317, 526)"
110,4.399,70.01,70.23,0.014,"(220, 316, 317, 526)"
111,4.433,70.01,70.22,0.018,"(220, 316, 317, 526)"
112,4.467,69.94,70.17,0.017,"(220, 316, 317, 526)"
113,4.499,70.00,70.23,0.018,"(220, 316, 317, 526)"
114,4.532,69.97,70.20,0.017,"(220, 316, 317, 526)"
115,4.566,69.94,70.16,0.020,"(220, 316, 317, 526)"
116,4.598,69.98,70.18,0.016,"(220, 316, 317, 526)"
117,4.632,69.85,70.06,0.016,"(220, 316, 317, 526)"
118,4.665,69.80,70.02,0.017,"(220, 316, 317, 526)"
119,4.700,69.95,70.17,0.019,"(220, 316, 317, 526)"
120,4.733,69.89,70.09,0.015,"(220, 316, 317, 526)"
121,4.765,69.83,70.05,0.020,"(220, 316, 317, 526)"
122,4.799,69.91,70.05,0.019,"(220, 316, 317, 526)"
123,4.833,70.45,70.68,0.017,"(220, 316, 317, 526)"
124,4.866,70.52,70.76,0.019,"(220, 316, 317, 526)"
125,4.899,70.62,70.88,0.017,"(220, 316, 317, 526)"
126,4.933,70.56,70.80,0.020,"(220, 316, 317, 526)"
127,4.966,70.49,70.74,0.018,"(220, 316, 317, 526)"
128,5.000,70.66,70.92,0.020,"(220, 316, 317, 526)"
129,5.033,70.62,70.87,0.017,"(220, 316, 317, 526)"
130,5.067,70.61,70.87,0.016,"(220, 316, 317, 526)"
131,5.100,70.68,70.93,0.016,"(220, 316, 317, 526)"
132,5.133,70.57,70.82,0.018,"(220, 316, 317, 526)"
133,5.167,70.52,70.77,0.018,"(220, 316, 317, 526)"
134,5.200,70.66,70.90,0.016,"(220, 316, 317, 526)"
135,5.233,70.59,70.82,0.017,"(220, 316, 317, 526)"
136,5.266,70.43,70.66,0.020,"(220, 316, 317, 526)"
137,5.300,70.46,70.72,0.015,"(220, 316, 317, 526)"
