frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.694,78.53,73.22,0.009,"(214, 356, 317, 526)"
1,0.745,78.53,73.22,0.009,"(214, 356, 317, 526)"
2,0.797,78.53,73.22,0.009,"(214, 356, 317, 526)"
3,0.846,78.53,73.22,0.009,"(214, 356, 317, 526)"
4,0.893,78.53,73.22,0.009,"(214, 356, 317, 526)"
5,0.943,78.53,73.22,0.009,"(214, 356, 317, 526)"
6,0.991,78.53,73.22,0.009,"(214, 356, 317, 526)"
7,1.041,78.53,73.22,0.009,"(214, 356, 317, 526)"
8,1.091,78.53,73.22,0.009,"(214, 356, 317, 526)"
9,1.142,78.53,73.22,0.009,"(214, 356, 317, 526)"
10,1.195,78.53,73.22,0.009,"(214, 356, 317, 526)"
11,1.245,78.53,73.22,0.009,"(214, 356, 317, 526)"
12,1.295,78.53,73.22,0.009,"(214, 356, 317, 526)"
13,1.343,78.53,73.22,0.009,"(214, 356, 317, 526)"
14,1.393,78.53,73.22,0.009,"(214, 356, 317, 526)"
15,1.442,78.53,73.22,0.009,"(214, 356, 317, 526)"
16,1.492,78.53,73.22,0.009,"(214, 356, 317, 526)"
17,1.544,78.53,73.22,0.009,"(214, 356, 317, 526)"
18,1.600,78.53,73.22,0.009,"(214, 356, 317, 526)"
19,1.649,78.53,73.22,0.009,"(214, 356, 317, 526)"
20,1.701,78.53,73.22,0.009,"(214, 356, 317, 526)"
21,1.750,78.53,73.22,0.009,"(214, 356, 317, 526)"
22,1.800,78.53,73.22,0.010,"(214, 356, 317, 526)"
23,1.849,78.53,73.22,0.023,"(214, 356, 317, 526)"
24,1.899,16.66,16.62,0.016,"(214, 356, 317, 526)"
25,1.948,46.29,43.45,0.009,"(214, 356, 317, 526)"
26,1.996,106.49,99.67,0.005,"(214, 356, 317, 526)"
27,2.049,106.47,99.65,0.005,"(214, 356, 317, 526)"
28,2.099,50.68,47.47,0.009,"(214, 356, 317, 526)"
29,2.149,50.75,47.52,0.007,"(214, 356, 317, 526)"
30,2.198,44.74,42.03,0.018,"(214, 356, 317, 526)"
31,2.247,44.78,42.07,0.005,"(214, 356, 317, 526)"
32,2.296,44.62,41.91,0.008,"(214, 356, 317, 526)"
33,2.344,43.59,40.99,0.011,"(214, 356, 317, 526)"
34,2.393,43.50,40.90,0.012,"(214, 356, 317, 526)"
35,2.443,43.61,41.00,0.017,"(214, 356, 317, 526)"
36,2.492,43.57,40.96,0.012,"(214, 356, 317, 526)"
37,2.541,43.62,41.01,0.030,"(214, 356, 317, 526)"
38,2.590,43.60,41.00,0.012,"(214, 356, 317, 526)"
39,2.640,43.68,41.07,0.007,"(214, 356, 317, 526)"
40,2.687,43.68,41.07,0.013,"(214, 356, 317, 526)"
41,2.736,43.75,41.14,0.007,"(214, 356, 317, 526)"
42,2.783,43.71,41.09,0.012,"(214, 356, 317, 526)"
43,2.834,43.73,41.11,0.016,"(214, 356, 317, 526)"
44,2.883,43.66,41.05,0.017,"(214, 356, 317, 526)"
45,2.933,43.68,41.08,0.035,"(214, 356, 317, 526)"
46,2.983,43.63,41.02,0.011,"(214, 356, 317, 526)"
47,3.033,43.60,41.00,0.012,"(214, 356, 317, 526)"
48,3.084,43.54,40.94,0.008,"(214, 356, 317, 526)"
49,3.134,43.53,40.93,0.006,"(214, 356, 317, 526)"
50,3.183,43.49,40.90,0.009,"(214, 356, 317, 526)"
51,3.234,43.49,40.90,0.014,"(214, 356, 317, 526)"
52,3.289,43.43,40.82,0.011,"(214, 356, 317, 526)"
53,3.346,43.44,40.84,0.010,"(214, 356, 317, 526)"
54,3.406,43.47,40.88,0.006,"(214, 356, 317, 526)"
55,3.460,43.41,40.82,0.009,"(214, 356, 317, 526)"
56,3.510,43.48,40.89,0.009,"(214, 356, 317, 526)"
57,3.559,43.40,40.80,0.009,"(214, 356, 317, 526)"
58,3.609,43.47,40.86,0.007,"(214, 356, 317, 526)"
59,3.660,43.41,40.81,0.005,"(214, 356, 317, 526)"
60,3.711,43.45,40.85,0.017,"(214, 356, 317, 526)"
61,3.759,43.38,40.78,0.013,"(214, 356, 317, 526)"
62,3.809,43.45,40.86,0.015,"(214, 356, 317, 526)"
63,3.859,43.39,40.79,0.018,"(214, 356, 317, 526)"
64,3.909,43.46,40.87,0.013,"(214, 356, 317, 526)"
65,3.958,43.38,40.78,0.015,"(214, 356, 317, 526)"
66,4.008,43.45,40.85,0.009,"(214, 356, 317, 526)"
67,4.060,43.38,40.78,0.009,"(214, 356, 317, 526)"
68,4.111,43.49,40.90,0.013,"(214, 356, 317, 526)"
69,4.160,43.40,40.81,0.009,"(214, 356, 317, 526)"
70,4.212,43.47,40.87,0.009,"(214, 356, 317, 526)"
71,4.264,43.39,40.80,0.022,"(214, 356, 317, 526)"
72,4.316,43.47,40.87,0.010,"(214, 356, 317, 526)"
73,4.367,43.41,40.81,0.010,"(214, 356, 317, 526)"
