frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
95,5.231,61.42,61.44,0.009,"(217, 354, 320, 528)"
96,5.280,61.59,61.63,0.006,"(217, 354, 320, 528)"
97,5.331,61.55,61.59,0.007,"(217, 354, 320, 528)"
98,5.385,61.63,61.67,0.005,"(217, 354, 320, 528)"
99,5.439,61.58,61.61,0.009,"(217, 354, 320, 528)"
100,5.495,61.67,61.71,0.009,"(217, 354, 320, 528)"
101,5.549,61.52,61.55,0.011,"(217, 354, 320, 528)"
102,5.606,61.62,61.66,0.003,"(217, 354, 320, 528)"
103,5.660,61.68,61.72,0.007,"(217, 354, 320, 528)"
104,5.716,61.76,61.80,0.008,"(217, 354, 320, 528)"
105,5.770,61.76,61.80,0.014,"(217, 354, 320, 528)"
106,5.825,61.68,61.72,0.008,"(217, 354, 320, 528)"
107,5.881,61.84,61.88,0.006,"(217, 354, 320, 528)"
108,5.934,61.75,61.79,0.007,"(217, 354, 320, 528)"
109,5.981,61.89,61.93,0.011,"(217, 354, 320, 528)"
110,6.030,61.73,61.77,0.009,"(217, 354, 320, 528)"
111,6.078,61.89,61.93,0.012,"(217, 354, 320, 528)"
112,6.125,61.73,61.76,0.016,"(217, 354, 320, 528)"
113,6.173,61.83,61.87,0.026,"(217, 354, 320, 528)"
114,6.221,61.78,61.81,0.005,"(217, 354, 320, 528)"
115,6.269,61.84,61.87,0.009,"(217, 354, 320, 528)"
116,6.317,61.76,61.79,0.014,"(217, 354, 320, 528)"
117,6.367,61.79,61.82,0.008,"(217, 354, 320, 528)"
118,6.414,61.75,61.77,0.004,"(217, 354, 320, 528)"
119,6.463,61.85,61.88,0.007,"(217, 354, 320, 528)"
120,6.510,61.80,61.82,0.008,"(217, 354, 320, 528)"
121,6.557,61.89,61.92,0.012,"(217, 354, 320, 528)"
122,6.605,61.75,61.77,0.010,"(217, 354, 320, 528)"
123,6.654,61.69,61.72,0.007,"(217, 354, 320, 528)"
124,6.703,61.82,61.84,0.008,"(217, 354, 320, 528)"
125,6.751,61.74,61.76,0.010,"(217, 354, 320, 528)"
126,6.798,61.76,61.79,0.014,"(217, 354, 320, 528)"
127,6.847,61.78,61.80,0.064,"(217, 354, 320, 528)"
128,6.895,61.81,61.83,0.012,"(217, 354, 320, 528)"
129,6.943,61.81,61.84,0.009,"(217, 354, 320, 528)"
130,6.991,61.80,61.82,0.010,"(217, 354, 320, 528)"
131,7.038,61.80,61.82,0.053,"(217, 354, 320, 528)"
132,7.085,61.91,61.94,0.075,"(217, 354, 320, 528)"
133,7.133,61.80,61.82,0.009,"(217, 354, 320, 528)"
134,7.181,61.88,61.91,0.024,"(217, 354, 320, 528)"
135,7.229,61.78,61.80,0.010,"(217, 354, 320, 528)"
136,7.277,61.84,61.86,0.017,"(217, 354, 320, 528)"
137,7.325,61.71,61.73,0.023,"(217, 354, 320, 528)"
138,7.372,61.81,61.84,0.035,"(217, 354, 320, 528)"
139,7.426,61.73,61.75,0.015,"(217, 354, 320, 528)"
140,7.480,61.81,61.84,0.005,"(217, 354, 320, 528)"
141,7.535,61.71,61.73,0.009,"(217, 354, 320, 528)"
142,7.590,61.73,61.75,0.021,"(217, 354, 320, 528)"
143,7.645,61.68,61.71,0.016,"(217, 354, 320, 528)"
144,7.699,61.68,61.70,0.017,"(217, 354, 320, 528)"
145,7.755,61.77,61.79,0.030,"(217, 354, 320, 528)"
146,7.807,61.70,61.73,0.027,"(217, 354, 320, 528)"
147,7.857,61.77,61.80,0.019,"(217, 354, 320, 528)"
148,7.906,61.69,61.72,0.014,"(217, 354, 320, 528)"
149,7.955,61.78,61.81,0.015,"(217, 354, 320, 528)"
150,7.999,61.70,61.72,0.012,"(217, 354, 320, 528)"
151,8.047,61.80,61.83,0.020,"(217, 354, 320, 528)"
152,8.095,61.68,61.72,0.012,"(217, 354, 320, 528)"
153,8.142,61.80,61.84,0.020,"(217, 354, 320, 528)"
154,8.191,61.74,61.78,0.018,"(217, 354, 320, 528)"
155,8.240,61.73,61.77,0.015,"(217, 354, 320, 528)"
156,8.288,61.71,61.74,0.006,"(217, 354, 320, 528)"
157,8.336,61.73,61.76,0.007,"(217, 354, 320, 528)"
158,8.387,61.68,61.71,0.022,"(217, 354, 320, 528)"
159,8.434,61.74,61.77,0.018,"(217, 354, 320, 528)"
160,8.482,61.65,61.67,0.020,"(217, 354, 320, 528)"
161,8.530,61.77,61.80,0.008,"(217, 354, 320, 528)"
162,8.579,61.72,61.75,0.019,"(217, 354, 320, 528)"
163,8.629,61.77,61.80,0.019,"(217, 354, 320, 528)"
164,8.674,61.68,61.72,0.010,"(217, 354, 320, 528)"
165,8.722,61.63,61.66,0.005,"(217, 354, 320, 528)"
166,8.770,61.67,61.71,0.011,"(217, 354, 320, 528)"
167,8.818,61.61,61.65,0.006,"(217, 354, 320, 528)"
168,8.862,61.68,61.71,0.020,"(217, 354, 320, 528)"
169,8.911,61.66,61.69,0.014,"(217, 354, 320, 528)"
170,8.959,61.78,61.81,0.016,"(217, 354, 320, 528)"
171,9.007,61.62,61.65,0.018,"(217, 354, 320, 528)"
172,9.051,61.73,61.77,0.008,"(217, 354, 320, 528)"
173,9.099,61.66,61.69,0.023,"(217, 354, 320, 528)"
174,9.146,61.78,61.82,0.018,"(217, 354, 320, 528)"
175,9.193,61.67,61.71,0.007,"(217, 354, 320, 528)"
176,9.239,61.79,61.83,0.015,"(217, 354, 320, 528)"
177,9.287,61.68,61.72,0.006,"(217, 354, 320, 528)"
178,9.336,61.80,61.84,0.008,"(217, 354, 320, 528)"
179,9.386,61.65,61.69,0.011,"(217, 354, 320, 528)"
180,9.434,61.74,61.77,0.010,"(217, 354, 320, 528)"
181,9.484,61.65,61.68,0.006,"(217, 354, 320, 528)"
182,9.532,61.74,61.78,0.016,"(217, 354, 320, 528)"
183,9.582,61.64,61.67,0.017,"(217, 354, 320, 528)"
184,9.632,61.72,61.76,0.022,"(217, 354, 320, 528)"
185,9.682,61.60,61.63,0.007,"(217, 354, 320, 528)"
186,9.732,61.73,61.77,0.014,"(217, 354, 320, 528)"
187,9.781,61.59,61.63,0.024,"(217, 354, 320, 528)"
188,9.831,61.73,61.76,0.014,"(217, 354, 320, 528)"
189,9.881,61.59,61.63,0.008,"(217, 354, 320, 528)"
190,9.930,61.71,61.74,0.020,"(217, 354, 320, 528)"
191,9.980,61.58,61.61,0.022,"(217, 354, 320, 528)"
192,10.027,61.66,61.70,0.012,"(217, 354, 320, 528)"
193,10.075,61.57,61.61,0.016,"(217, 354, 320, 528)"
194,10.125,61.68,61.72,0.003,"(217, 354, 320, 528)"
195,10.173,61.59,61.62,0.008,"(217, 354, 320, 528)"
196,10.223,61.68,61.72,0.018,"(217, 354, 320, 528)"
197,10.271,61.56,61.58,0.009,"(217, 354, 320, 528)"
198,10.319,61.70,61.73,0.018,"(217, 354, 320, 528)"
199,10.368,61.58,61.61,0.016,"(217, 354, 320, 528)"
200,10.414,61.70,61.74,0.009,"(217, 354, 320, 528)"
201,10.465,61.58,61.61,0.012,"(217, 354, 320, 528)"
202,10.513,61.70,61.73,0.007,"(217, 354, 320, 528)"
