frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
0,0.694,137.82,136.05,0.000,"(221, 386, 320, 526)"
1,0.745,137.82,136.05,0.000,"(221, 386, 320, 526)"
2,0.793,137.82,136.05,0.000,"(221, 386, 320, 526)"
3,0.840,137.82,136.05,0.011,"(221, 386, 320, 526)"
4,0.886,137.82,136.05,0.020,"(221, 386, 320, 526)"
5,0.933,62.77,61.94,0.017,"(221, 386, 320, 526)"
6,0.980,62.78,61.96,0.009,"(221, 386, 320, 526)"
7,1.030,60.01,59.22,0.010,"(221, 386, 320, 526)"
8,1.075,60.05,59.27,0.007,"(221, 386, 320, 526)"
9,1.121,58.25,57.50,0.008,"(221, 386, 320, 526)"
10,1.167,58.40,57.65,0.009,"(221, 386, 320, 526)"
11,1.214,58.38,57.61,0.008,"(221, 386, 320, 526)"
12,1.261,58.50,57.75,0.004,"(221, 386, 320, 526)"
13,1.309,58.33,57.57,0.017,"(221, 386, 320, 526)"
14,1.354,58.43,57.68,0.015,"(221, 386, 320, 526)"
15,1.401,58.21,57.46,0.006,"(221, 386, 320, 526)"
16,1.448,58.31,57.57,0.007,"(221, 386, 320, 526)"
17,1.496,58.11,57.36,0.013,"(221, 386, 320, 526)"
18,1.542,58.20,57.46,0.020,"(221, 386, 320, 526)"
19,1.590,58.09,57.34,0.024,"(221, 386, 320, 526)"
20,1.637,58.11,57.37,0.016,"(221, 386, 320, 526)"
21,1.683,57.98,57.24,0.011,"(221, 386, 320, 526)"
22,1.729,58.04,57.30,0.019,"(221, 386, 320, 526)"
23,1.777,57.92,57.19,0.023,"(221, 386, 320, 526)"
24,1.827,57.90,57.16,0.014,"(221, 386, 320, 526)"
25,1.874,57.86,57.12,0.008,"(221, 386, 320, 526)"
26,1.921,57.80,57.07,0.023,"(221, 386, 320, 526)"
27,1.968,57.76,57.02,0.010,"(221, 386, 320, 526)"
28,2.015,57.73,56.99,0.015,"(221, 386, 320, 526)"
29,2.064,57.65,56.93,0.015,"(221, 386, 320, 526)"
30,2.113,57.66,56.93,0.008,"(221, 386, 320, 526)"
31,2.161,57.75,57.01,0.015,"(221, 386, 320, 526)"
32,2.208,57.69,56.95,0.014,"(221, 386, 320, 526)"
33,2.253,57.76,57.03,0.010,"(221, 386, 320, 526)"
34,2.300,57.66,56.93,0.014,"(221, 386, 320, 526)"
35,2.346,57.70,56.97,0.015,"(221, 386, 320, 526)"
36,2.391,57.47,56.73,0.009,"(221, 386, 320, 526)"
37,2.440,57.55,56.76,0.082,"(221, 386, 320, 526)"
38,2.486,57.41,56.61,0.002,"(221, 386, 320, 526)"
39,2.536,57.47,56.67,0.090,"(221, 386, 320, 526)"
40,2.582,57.38,56.58,0.366,"(221, 386, 320, 526)"
41,2.630,57.47,56.68,0.067,"(221, 386, 320, 526)"
42,2.675,57.36,56.56,0.002,"(221, 386, 320, 526)"
43,2.724,57.41,56.62,0.080,"(221, 386, 320, 526)"
44,2.772,57.26,56.42,0.004,"(221, 386, 320, 526)"
45,2.820,57.36,56.49,0.005,"(221, 386, 320, 526)"
46,2.869,57.25,56.43,0.342,"(221, 386, 320, 526)"
47,2.914,57.41,56.61,0.006,"(221, 386, 320, 526)"
48,2.962,57.41,56.62,0.002,"(221, 386, 320, 526)"
49,3.010,57.39,56.60,0.550,"(221, 386, 320, 526)"
50,3.059,57.42,56.64,0.309,"(221, 386, 320, 526)"
51,3.106,57.41,56.65,0.796,"(221, 386, 320, 526)"
52,3.155,57.47,56.70,0.536,"(221, 386, 320, 526)"
53,3.209,57.54,56.77,0.266,"(221, 386, 320, 526)"
54,3.256,57.52,56.75,0.004,"(221, 386, 320, 526)"
55,3.305,57.52,56.74,1.363,"(221, 386, 320, 526)"
56,3.353,57.54,56.77,0.657,"(221, 386, 320, 526)"
57,3.400,57.50,56.72,0.855,"(221, 386, 320, 526)"
58,3.447,57.46,56.68,0.526,"(221, 386, 320, 526)"
59,3.496,57.39,56.61,0.002,"(221, 386, 320, 526)"
60,3.543,57.53,56.74,0.005,"(221, 386, 320, 526)"
61,3.590,57.45,56.64,0.010,"(221, 386, 320, 526)"
62,3.637,57.56,56.73,0.019,"(221, 386, 320, 526)"
63,3.685,57.59,56.75,0.007,"(221, 386, 320, 526)"
64,3.734,57.68,56.83,0.012,"(221, 386, 320, 526)"
65,3.783,57.59,56.76,0.006,"(221, 386, 320, 526)"
66,3.831,57.69,56.85,0.019,"(221, 386, 320, 526)"
67,3.877,57.56,56.72,0.017,"(221, 386, 320, 526)"
68,3.926,57.69,56.85,0.017,"(221, 386, 320, 526)"
69,3.973,57.59,56.75,0.012,"(221, 386, 320, 526)"
70,4.020,57.66,56.82,0.003,"(221, 386, 320, 526)"
71,4.066,57.56,56.72,0.004,"(221, 386, 320, 526)"
72,4.113,57.68,56.85,0.013,"(221, 386, 320, 526)"
73,4.160,57.58,56.75,0.006,"(221, 386, 320, 526)"
74,4.206,57.68,56.82,0.304,"(221, 386, 320, 526)"
75,4.252,57.56,56.70,0.080,"(221, 386, 320, 526)"
76,4.299,57.59,56.71,0.011,"(221, 386, 320, 526)"
77,4.346,57.61,56.70,0.003,"(221, 386, 320, 526)"
78,4.392,57.62,56.72,0.005,"(221, 386, 320, 526)"
79,4.439,57.67,56.79,0.082,"(221, 386, 320, 526)"
80,4.489,57.66,56.78,0.133,"(221, 386, 320, 526)"
81,4.537,57.69,56.81,0.008,"(221, 386, 320, 526)"
82,4.583,57.70,56.83,0.004,"(221, 386, 320, 526)"
83,4.629,57.84,56.95,0.140,"(221, 386, 320, 526)"
84,4.677,57.71,56.83,0.007,"(221, 386, 320, 526)"
85,4.726,57.79,56.91,0.005,"(221, 386, 320, 526)"
86,4.773,57.70,56.83,0.000,"(221, 386, 320, 526)"
87,4.821,57.82,56.94,0.001,"(221, 386, 320, 526)"
88,4.867,57.88,56.98,0.347,"(221, 386, 320, 526)"
89,4.914,57.98,57.05,0.001,"(221, 386, 320, 526)"
90,4.959,57.83,56.90,0.005,"(221, 386, 320, 526)"
91,5.006,57.97,57.04,0.233,"(221, 386, 320, 526)"
92,5.053,57.83,56.90,0.235,"(221, 386, 320, 526)"
93,5.098,57.83,56.90,0.359,"(221, 386, 320, 526)"
94,5.144,57.77,56.83,0.009,"(221, 386, 320, 526)"
95,5.186,57.78,56.85,0.007,"(221, 386, 320, 526)"
96,5.233,57.70,56.76,0.003,"(221, 386, 320, 526)"
97,5.280,57.77,56.84,0.014,"(221, 386, 320, 526)"
98,5.327,57.81,56.89,1.367,"(221, 386, 320, 526)"
99,5.371,57.77,56.83,0.455,"(221, 386, 320, 526)"
100,5.417,57.88,56.92,0.080,"(221, 386, 320, 526)"
101,5.465,57.78,56.80,0.006,"(221, 386, 320, 526)"
102,5.512,58.04,57.05,0.076,"(221, 386, 320, 526)"
103,5.561,57.91,56.92,0.655,"(221, 386, 320, 526)"
104,5.607,57.99,56.99,1.142,"(221, 386, 320, 526)"
105,5.654,57.89,56.89,1.202,"(221, 386, 320, 526)"
106,5.702,58.01,57.03,0.728,"(221, 386, 320, 526)"
107,5.748,57.86,56.88,0.944,"(221, 386, 320, 526)"
108,5.797,57.96,56.98,0.806,"(221, 386, 320, 526)"
109,5.844,57.84,56.87,1.177,"(221, 386, 320, 526)"
110,5.899,57.91,56.94,0.834,"(221, 386, 320, 526)"
111,5.945,57.90,56.91,0.093,"(221, 386, 320, 526)"
112,5.992,58.05,57.06,0.153,"(221, 386, 320, 526)"
113,6.039,57.96,56.99,0.672,"(221, 386, 320, 526)"
114,6.086,58.08,57.11,0.011,"(221, 386, 320, 526)"
115,6.135,57.98,57.01,0.019,"(221, 386, 320, 526)"
116,6.182,58.08,57.10,0.009,"(221, 386, 320, 526)"
117,6.229,58.06,57.08,0.205,"(221, 386, 320, 526)"
118,6.275,58.04,57.07,0.156,"(221, 386, 320, 526)"
119,6.322,58.00,57.03,0.051,"(221, 386, 320, 526)"
120,6.367,57.90,56.93,0.001,"(221, 386, 320, 526)"
121,6.415,57.99,57.02,0.003,"(221, 386, 320, 526)"
122,6.464,57.90,56.92,0.116,"(221, 386, 320, 526)"
123,6.509,58.00,57.01,0.104,"(221, 386, 320, 526)"
124,6.554,57.93,56.95,0.650,"(221, 386, 320, 526)"
125,6.600,58.08,57.10,0.404,"(221, 386, 320, 526)"
126,6.646,57.98,56.99,0.001,"(221, 386, 320, 526)"
127,6.692,58.11,57.12,0.029,"(221, 386, 320, 526)"
128,6.741,58.10,57.09,0.003,"(221, 386, 320, 526)"
129,6.788,58.20,57.20,0.004,"(221, 386, 320, 526)"
130,6.835,58.15,57.16,0.002,"(221, 386, 320, 526)"
131,6.880,58.24,57.25,0.274,"(221, 386, 320, 526)"
132,6.929,58.14,57.14,0.089,"(221, 386, 320, 526)"
