frame_idx,timestamp_sec,ir_bbox,ir_poly,depth_m,bbox_coords
95,3.753,65.71,65.77,0.019,"(217, 321, 320, 525)"
96,3.787,65.89,65.89,0.012,"(217, 321, 320, 525)"
97,3.821,65.85,65.81,0.017,"(217, 321, 320, 525)"
98,3.854,66.20,66.16,0.022,"(217, 321, 320, 525)"
99,3.887,66.18,66.14,0.013,"(217, 321, 320, 525)"
100,3.921,66.02,65.97,0.036,"(217, 321, 320, 525)"
101,3.954,66.20,66.16,0.023,"(217, 321, 320, 525)"
102,3.987,66.17,66.13,0.021,"(217, 321, 320, 525)"
103,4.020,66.08,66.03,0.022,"(217, 321, 320, 525)"
104,4.053,66.24,66.19,0.098,"(217, 321, 320, 525)"
105,4.087,66.17,66.13,0.023,"(217, 321, 320, 525)"
106,4.121,66.10,66.05,0.020,"(217, 321, 320, 525)"
107,4.154,66.07,66.03,0.024,"(217, 321, 320, 525)"
108,4.188,65.88,65.86,0.021,"(217, 321, 320, 525)"
109,4.222,65.47,65.47,0.041,"(217, 321, 320, 525)"
110,4.254,65.58,65.62,0.036,"(217, 321, 320, 525)"
111,4.288,65.26,65.31,0.017,"(217, 321, 320, 525)"
112,4.320,64.99,65.05,0.027,"(217, 321, 320, 525)"
113,4.354,65.06,65.16,0.047,"(217, 321, 320, 525)"
114,4.388,65.42,65.49,0.022,"(217, 321, 320, 525)"
115,4.422,65.61,65.72,0.018,"(217, 321, 320, 525)"
116,4.454,65.76,65.86,0.014,"(217, 321, 320, 525)"
117,4.488,65.65,65.75,0.074,"(217, 321, 320, 525)"
118,4.521,65.56,65.67,0.017,"(217, 321, 320, 525)"
119,4.555,65.79,65.89,0.018,"(217, 321, 320, 525)"
120,4.588,65.70,65.80,0.019,"(217, 321, 320, 525)"
121,4.621,65.64,65.74,0.011,"(217, 321, 320, 525)"
122,4.654,65.83,65.93,0.018,"(217, 321, 320, 525)"
123,4.688,65.68,65.78,0.014,"(217, 321, 320, 525)"
124,4.721,65.21,65.29,0.032,"(217, 321, 320, 525)"
125,4.755,65.39,65.52,0.017,"(217, 321, 320, 525)"
126,4.788,65.30,65.43,0.028,"(217, 321, 320, 525)"
127,4.822,65.44,65.59,0.022,"(217, 321, 320, 525)"
128,4.855,65.87,66.04,0.046,"(217, 321, 320, 525)"
129,4.888,65.77,65.96,0.024,"(217, 321, 320, 525)"
130,4.922,65.76,65.98,0.016,"(217, 321, 320, 525)"
131,4.956,65.94,66.14,0.021,"(217, 321, 320, 525)"
132,4.988,65.76,65.97,0.021,"(217, 321, 320, 525)"
133,5.022,65.73,65.94,0.024,"(217, 321, 320, 525)"
134,5.055,65.90,66.12,0.023,"(217, 321, 320, 525)"
135,5.088,65.78,65.98,0.031,"(217, 321, 320, 525)"
136,5.122,65.77,65.98,0.018,"(217, 321, 320, 525)"
137,5.156,65.91,66.13,0.027,"(217, 321, 320, 525)"
138,5.189,65.75,65.97,0.057,"(217, 321, 320, 525)"
139,5.222,65.79,66.01,0.029,"(217, 321, 320, 525)"
140,5.256,66.10,66.33,0.027,"(217, 321, 320, 525)"
141,5.289,66.09,66.33,0.023,"(217, 321, 320, 525)"
142,5.322,66.36,66.63,0.012,"(217, 321, 320, 525)"
143,5.355,66.45,66.73,0.019,"(217, 321, 320, 525)"
144,5.389,66.43,66.71,0.026,"(217, 321, 320, 525)"
145,5.422,66.59,66.88,0.020,"(217, 321, 320, 525)"
146,5.456,66.87,67.14,0.017,"(217, 321, 320, 525)"
147,5.489,66.68,66.96,0.023,"(217, 321, 320, 525)"
148,5.522,66.72,67.00,0.016,"(217, 321, 320, 525)"
149,5.555,66.83,67.10,0.024,"(217, 321, 320, 525)"
150,5.589,66.68,66.95,0.011,"(217, 321, 320, 525)"
151,5.622,66.74,67.02,0.018,"(217, 321, 320, 525)"
152,5.656,66.84,67.12,0.015,"(217, 321, 320, 525)"
153,5.689,66.61,66.88,0.019,"(217, 321, 320, 525)"
154,5.723,66.93,67.21,0.020,"(217, 321, 320, 525)"
155,5.756,67.26,67.57,0.019,"(217, 321, 320, 525)"
156,5.789,67.49,67.83,0.017,"(217, 321, 320, 525)"
157,5.823,67.75,68.09,0.020,"(217, 321, 320, 525)"
158,5.856,68.02,68.37,0.018,"(217, 321, 320, 525)"
159,5.889,67.82,68.17,0.018,"(217, 321, 320, 525)"
160,5.923,68.02,68.36,0.012,"(217, 321, 320, 525)"
161,5.956,68.07,68.41,0.018,"(217, 321, 320, 525)"
162,5.989,67.92,68.26,0.019,"(217, 321, 320, 525)"
163,6.022,67.98,68.33,0.011,"(217, 321, 320, 525)"
164,6.056,68.04,68.39,0.013,"(217, 321, 320, 525)"
165,6.089,67.91,68.25,0.019,"(217, 321, 320, 525)"
166,6.123,67.98,68.33,0.026,"(217, 321, 320, 525)"
167,6.156,68.03,68.38,0.014,"(217, 321, 320, 525)"
168,6.190,67.87,68.21,0.020,"(217, 321, 320, 525)"
169,6.223,68.02,68.36,0.037,"(217, 321, 320, 525)"
170,6.256,68.28,68.63,0.023,"(217, 321, 320, 525)"
171,6.290,68.37,68.74,0.014,"(217, 321, 320, 525)"
172,6.323,68.64,69.02,0.015,"(217, 321, 320, 525)"
173,6.356,68.85,69.23,0.014,"(217, 321, 320, 525)"
174,6.390,68.75,69.13,0.007,"(217, 321, 320, 525)"
175,6.423,69.02,69.41,0.007,"(217, 321, 320, 525)"
176,6.457,69.02,69.41,0.010,"(217, 321, 320, 525)"
177,6.490,68.87,69.25,0.007,"(217, 321, 320, 525)"
178,6.523,69.03,69.41,0.011,"(217, 321, 320, 525)"
179,6.557,69.02,69.40,0.016,"(217, 321, 320, 525)"
180,6.590,68.87,69.25,0.008,"(217, 321, 320, 525)"
181,6.624,69.02,69.40,0.010,"(217, 321, 320, 525)"
182,6.657,68.96,69.34,0.016,"(217, 321, 320, 525)"
183,6.690,68.77,69.15,0.014,"(217, 321, 320, 525)"
184,6.724,68.95,69.33,0.013,"(217, 321, 320, 525)"
185,6.757,68.86,69.24,0.017,"(217, 321, 320, 525)"
186,6.791,68.90,69.29,0.018,"(217, 321, 320, 525)"
187,6.823,69.33,69.72,0.015,"(217, 321, 320, 525)"
188,6.857,69.46,69.86,0.019,"(217, 321, 320, 525)"
189,6.891,69.38,69.79,0.022,"(217, 321, 320, 525)"
190,6.924,69.52,69.93,0.027,"(217, 321, 320, 525)"
191,6.958,69.48,69.89,0.075,"(217, 321, 320, 525)"
192,6.990,69.35,69.76,0.026,"(217, 321, 320, 525)"
193,7.024,69.57,69.97,0.018,"(217, 321, 320, 525)"
194,7.057,69.51,69.91,0.016,"(217, 321, 320, 525)"
195,7.090,69.42,69.82,0.028,"(217, 321, 320, 525)"
196,7.124,69.62,70.02,0.022,"(217, 321, 320, 525)"
197,7.157,69.51,69.91,0.026,"(217, 321, 320, 525)"
198,7.191,69.42,69.83,0.015,"(217, 321, 320, 525)"
199,7.224,69.48,69.90,0.022,"(217, 321, 320, 525)"
200,7.257,69.41,69.83,0.032,"(217, 321, 320, 525)"
201,7.291,69.30,69.71,0.019,"(217, 321, 320, 525)"
202,7.324,69.60,70.02,0.019,"(217, 321, 320, 525)"
203,7.357,69.54,69.95,0.020,"(217, 321, 320, 525)"
204,7.391,69.55,69.96,0.019,"(217, 321, 320, 525)"
205,7.424,69.71,70.13,0.019,"(217, 321, 320, 525)"
206,7.458,69.65,70.07,0.017,"(217, 321, 320, 525)"
207,7.491,69.61,70.03,0.025,"(217, 321, 320, 525)"
208,7.525,69.83,70.24,0.014,"(217, 321, 320, 525)"
209,7.558,69.67,70.08,0.015,"(217, 321, 320, 525)"
210,7.592,69.66,70.07,0.018,"(217, 321, 320, 525)"
211,7.625,69.84,70.25,0.014,"(217, 321, 320, 525)"
212,7.659,69.72,70.13,0.020,"(217, 321, 320, 525)"
213,7.692,69.67,70.08,0.018,"(217, 321, 320, 525)"
214,7.725,69.81,70.23,0.012,"(217, 321, 320, 525)"
215,7.758,69.52,69.94,0.014,"(217, 321, 320, 525)"
216,7.792,69.49,69.91,0.015,"(217, 321, 320, 525)"
217,7.825,69.78,70.21,0.020,"(217, 321, 320, 525)"
218,7.858,69.68,70.10,0.020,"(217, 321, 320, 525)"
219,7.892,69.69,70.12,0.020,"(217, 321, 320, 525)"
220,7.925,69.84,70.27,0.019,"(217, 321, 320, 525)"
221,7.958,69.72,70.14,0.020,"(217, 321, 320, 525)"
222,7.992,69.81,70.23,0.017,"(217, 321, 320, 525)"
223,8.025,69.97,70.40,0.024,"(217, 321, 320, 525)"
224,8.059,69.77,70.20,0.016,"(217, 321, 320, 525)"
225,8.092,69.83,70.26,0.022,"(217, 321, 320, 525)"
226,8.126,69.97,70.39,0.017,"(217, 321, 320, 525)"
227,8.159,69.80,70.23,0.018,"(217, 321, 320, 525)"
228,8.192,69.82,70.25,0.017,"(217, 321, 320, 525)"
229,8.225,69.86,70.31,0.012,"(217, 321, 320, 525)"
230,8.259,69.58,70.02,0.017,"(217, 321, 320, 525)"
231,8.292,69.70,70.14,0.013,"(217, 321, 320, 525)"
232,8.326,69.93,70.37,0.026,"(217, 321, 320, 525)"
233,8.359,69.84,70.28,0.014,"(217, 321, 320, 525)"
234,8.392,69.88,70.34,0.012,"(217, 321, 320, 525)"
235,8.426,70.00,70.45,0.019,"(217, 321, 320, 525)"
236,8.460,69.85,70.29,0.020,"(217, 321, 320, 525)"
237,8.492,69.89,70.33,0.017,"(217, 321, 320, 525)"
238,8.526,70.02,70.47,0.017,"(217, 321, 320, 525)"
239,8.559,69.81,70.25,0.018,"(217, 321, 320, 525)"
240,8.593,69.90,70.34,0.010,"(217, 321, 320, 525)"
241,8.626,70.00,70.44,0.016,"(217, 321, 320, 525)"
242,8.659,69.81,70.25,0.012,"(217, 321, 320, 525)"
243,8.693,69.90,70.35,0.017,"(217, 321, 320, 525)"
244,8.726,69.96,70.41,0.014,"(217, 321, 320, 525)"
245,8.760,69.78,70.22,0.019,"(217, 321, 320, 525)"
246,8.793,69.90,70.34,0.019,"(217, 321, 320, 525)"
247,8.826,69.99,70.45,0.026,"(217, 321, 320, 525)"
248,8.860,69.78,70.24,0.021,"(217, 321, 320, 525)"
249,8.893,69.94,70.40,0.026,"(217, 321, 320, 525)"
250,8.926,69.99,70.45,0.021,"(217, 321, 320, 525)"
251,8.960,69.83,70.29,0.029,"(217, 321, 320, 525)"
252,8.993,70.01,70.47,0.021,"(217, 321, 320, 525)"
253,9.027,70.04,70.50,0.018,"(217, 321, 320, 525)"
254,9.060,69.85,70.31,0.018,"(217, 321, 320, 525)"
255,9.093,69.99,70.46,0.013,"(217, 321, 320, 525)"
256,9.127,70.02,70.49,0.024,"(217, 321, 320, 525)"
257,9.160,69.85,70.31,0.020,"(217, 321, 320, 525)"
258,9.193,69.97,70.43,0.021,"(217, 321, 320, 525)"
259,9.226,69.99,70.46,0.017,"(217, 321, 320, 525)"
260,9.260,69.80,70.26,0.027,"(217, 321, 320, 525)"
261,9.294,69.96,70.43,0.021,"(217, 321, 320, 525)"
262,9.327,69.95,70.43,0.024,"(217, 321, 320, 525)"
263,9.360,69.77,70.24,0.030,"(217, 321, 320, 525)"
264,9.393,69.93,70.40,0.028,"(217, 321, 320, 525)"
265,9.427,69.98,70.45,0.020,"(217, 321, 320, 525)"
266,9.461,69.80,70.27,0.027,"(217, 321, 320, 525)"
267,9.494,69.96,70.42,0.016,"(217, 321, 320, 525)"
268,9.527,69.88,70.35,0.016,"(217, 321, 320, 525)"
269,9.560,69.76,70.23,0.021,"(217, 321, 320, 525)"
270,9.593,69.96,70.43,0.027,"(217, 321, 320, 525)"
271,9.627,69.91,70.38,0.023,"(217, 321, 320, 525)"
272,9.660,69.72,70.19,0.021,"(217, 321, 320, 525)"
273,9.694,69.90,70.37,0.020,"(217, 321, 320, 525)"
274,9.727,69.85,70.32,0.019,"(217, 321, 320, 525)"
275,9.760,69.74,70.21,0.011,"(217, 321, 320, 525)"
276,9.794,69.88,70.35,0.019,"(217, 321, 320, 525)"
277,9.827,69.83,70.30,0.024,"(217, 321, 320, 525)"
278,9.861,69.68,70.14,0.020,"(217, 321, 320, 525)"
279,9.895,69.91,70.38,0.022,"(217, 321, 320, 525)"
280,9.927,69.79,70.26,0.021,"(217, 321, 320, 525)"
281,9.961,69.70,70.18,0.021,"(217, 321, 320, 525)"
282,9.994,69.89,70.36,0.016,"(217, 321, 320, 525)"
283,10.028,69.75,70.23,0.017,"(217, 321, 320, 525)"
284,10.061,69.66,70.14,0.014,"(217, 321, 320, 525)"
285,10.095,69.83,70.31,0.019,"(217, 321, 320, 525)"
286,10.128,69.72,70.19,0.014,"(217, 321, 320, 525)"
287,10.161,69.68,70.15,0.020,"(217, 321, 320, 525)"
288,10.195,69.86,70.33,0.015,"(217, 321, 320, 525)"
289,10.229,69.73,70.20,0.020,"(217, 321, 320, 525)"
290,10.261,69.69,70.16,0.020,"(217, 321, 320, 525)"
291,10.294,69.88,70.36,0.012,"(217, 321, 320, 525)"
292,10.328,69.73,70.20,0.010,"(217, 321, 320, 525)"
293,10.361,69.61,70.07,0.015,"(217, 321, 320, 525)"
294,10.395,69.80,70.26,0.014,"(217, 321, 320, 525)"
295,10.428,69.69,70.16,0.018,"(217, 321, 320, 525)"
296,10.461,69.57,70.08,0.024,"(217, 321, 320, 525)"
297,10.494,69.82,70.33,0.142,"(217, 321, 320, 525)"
298,10.528,69.70,70.20,0.017,"(217, 321, 320, 525)"
299,10.562,69.66,70.16,0.026,"(217, 321, 320, 525)"
300,10.594,69.78,70.28,0.023,"(217, 321, 320, 525)"
301,10.629,69.63,70.13,0.023,"(217, 321, 320, 525)"
302,10.662,69.62,70.12,0.027,"(217, 321, 320, 525)"
303,10.695,69.79,70.30,0.029,"(217, 321, 320, 525)"
304,10.729,69.63,70.13,0.015,"(217, 321, 320, 525)"
305,10.762,69.64,70.14,0.022,"(217, 321, 320, 525)"
306,10.795,69.72,70.22,0.020,"(217, 321, 320, 525)"
307,10.829,69.37,69.81,0.009,"(217, 321, 320, 525)"
308,10.862,69.39,69.83,0.021,"(217, 321, 320, 525)"
309,10.895,69.42,69.84,0.015,"(217, 321, 320, 525)"
310,10.929,69.18,69.59,0.017,"(217, 321, 320, 525)"
311,10.962,69.18,69.59,0.027,"(217, 321, 320, 525)"
312,10.996,69.35,69.76,0.017,"(217, 321, 320, 525)"
313,11.029,69.19,69.59,0.019,"(217, 321, 320, 525)"
314,11.062,69.22,69.62,0.013,"(217, 321, 320, 525)"
315,11.095,69.34,69.75,0.019,"(217, 321, 320, 525)"
316,11.129,69.15,69.55,0.017,"(217, 321, 320, 525)"
317,11.162,69.21,69.62,0.025,"(217, 321, 320, 525)"
318,11.196,69.32,69.74,0.015,"(217, 321, 320, 525)"
319,11.229,69.11,69.51,0.015,"(217, 321, 320, 525)"
320,11.263,69.07,69.47,0.017,"(217, 321, 320, 525)"
321,11.295,69.16,69.53,0.023,"(217, 321, 320, 525)"
322,11.329,68.86,69.17,0.027,"(217, 321, 320, 525)"
323,11.363,68.73,69.00,0.017,"(217, 321, 320, 525)"
324,11.396,68.81,69.08,0.023,"(217, 321, 320, 525)"
325,11.429,68.65,68.92,0.017,"(217, 321, 320, 525)"
326,11.463,68.76,69.02,0.021,"(217, 321, 320, 525)"
327,11.496,68.86,69.12,0.025,"(217, 321, 320, 525)"
328,11.529,68.63,68.89,0.028,"(217, 321, 320, 525)"
329,11.563,68.70,68.97,0.026,"(217, 321, 320, 525)"
330,11.596,68.80,69.07,0.024,"(217, 321, 320, 525)"
331,11.629,68.59,68.86,0.026,"(217, 321, 320, 525)"
332,11.663,68.70,68.97,0.017,"(217, 321, 320, 525)"
333,11.697,68.75,69.03,0.024,"(217, 321, 320, 525)"
334,11.730,68.57,68.84,0.025,"(217, 321, 320, 525)"
335,11.763,68.61,68.85,0.031,"(217, 321, 320, 525)"
336,11.796,68.32,68.50,0.021,"(217, 321, 320, 525)"
337,11.830,67.92,68.06,0.023,"(217, 321, 320, 525)"
338,11.864,67.91,68.02,0.025,"(217, 321, 320, 525)"
339,11.896,67.90,68.01,0.022,"(217, 321, 320, 525)"
340,11.930,67.72,67.83,0.022,"(217, 321, 320, 525)"
341,11.963,67.86,67.97,0.028,"(217, 321, 320, 525)"
342,11.997,67.85,67.96,0.020,"(217, 321, 320, 525)"
343,12.030,67.71,67.81,0.025,"(217, 321, 320, 525)"
344,12.063,67.84,67.95,0.026,"(217, 321, 320, 525)"
345,12.097,67.85,67.96,0.016,"(217, 321, 320, 525)"
346,12.130,67.68,67.79,0.035,"(217, 321, 320, 525)"
347,12.163,67.75,67.84,0.027,"(217, 321, 320, 525)"
348,12.197,67.45,67.52,0.012,"(217, 321, 320, 525)"
349,12.230,67.08,67.15,0.014,"(217, 321, 320, 525)"
350,12.264,66.86,66.89,0.024,"(217, 321, 320, 525)"
351,12.297,66.75,66.78,0.342,"(217, 321, 320, 525)"
352,12.330,66.61,66.65,0.044,"(217, 321, 320, 525)"
353,12.364,66.76,66.80,0.042,"(217, 321, 320, 525)"
354,12.398,66.74,66.79,0.037,"(217, 321, 320, 525)"
355,12.431,66.58,66.62,0.026,"(217, 321, 320, 525)"
356,12.463,66.76,66.80,0.029,"(217, 321, 320, 525)"
357,12.497,66.76,66.80,0.034,"(217, 321, 320, 525)"
358,12.531,66.59,66.63,0.046,"(217, 321, 320, 525)"
359,12.564,66.76,66.80,0.051,"(217, 321, 320, 525)"
360,12.606,66.72,66.76,0.041,"(217, 321, 320, 525)"
361,12.637,66.64,66.68,0.055,"(217, 321, 320, 525)"
362,12.669,66.63,66.66,0.020,"(217, 321, 320, 525)"
363,12.702,66.37,66.40,0.015,"(217, 321, 320, 525)"
364,12.734,65.99,65.98,0.070,"(217, 321, 320, 525)"
365,12.769,66.23,66.23,0.025,"(217, 321, 320, 525)"
366,12.798,65.95,65.94,0.045,"(217, 321, 320, 525)"
367,12.830,65.87,65.85,0.025,"(217, 321, 320, 525)"
368,12.864,66.02,66.00,0.015,"(217, 321, 320, 525)"
369,12.897,65.94,65.92,0.019,"(217, 321, 320, 525)"
370,12.931,65.87,65.85,0.020,"(217, 321, 320, 525)"
371,12.964,66.00,65.99,0.027,"(217, 321, 320, 525)"
372,13.007,65.91,65.89,0.044,"(217, 321, 320, 525)"
373,13.038,65.80,65.78,0.034,"(217, 321, 320, 525)"
374,13.070,65.97,65.96,0.024,"(217, 321, 320, 525)"
375,13.101,65.95,65.94,0.032,"(217, 321, 320, 525)"
376,13.136,65.64,65.62,0.026,"(217, 321, 320, 525)"
377,13.166,65.63,65.64,0.033,"(217, 321, 320, 525)"
378,13.199,65.42,65.45,0.039,"(217, 321, 320, 525)"
379,13.231,65.44,65.49,0.043,"(217, 321, 320, 525)"
380,13.265,65.61,65.66,0.039,"(217, 321, 320, 525)"
381,13.298,65.46,65.51,0.040,"(217, 321, 320, 525)"
382,13.332,65.43,65.48,0.040,"(217, 321, 320, 525)"
383,13.365,65.60,65.64,0.044,"(217, 321, 320, 525)"
384,13.407,65.46,65.50,0.037,"(217, 321, 320, 525)"
385,13.439,65.47,65.51,0.037,"(217, 321, 320, 525)"
386,13.471,65.64,65.68,0.039,"(217, 321, 320, 525)"
387,13.501,65.48,65.53,0.039,"(217, 321, 320, 525)"
388,13.536,65.48,65.53,0.032,"(217, 321, 320, 525)"
389,13.566,65.59,65.63,0.031,"(217, 321, 320, 525)"
390,13.599,65.39,65.43,0.034,"(217, 321, 320, 525)"
391,13.632,65.35,65.40,0.049,"(217, 321, 320, 525)"
392,13.665,65.74,65.85,0.036,"(217, 321, 320, 525)"
393,13.699,65.36,65.47,0.020,"(217, 321, 320, 525)"
394,13.732,65.34,65.46,0.023,"(217, 321, 320, 525)"
395,13.765,65.57,65.70,0.022,"(217, 321, 320, 525)"
396,13.807,65.39,65.52,0.017,"(217, 321, 320, 525)"
397,13.838,65.41,65.54,0.014,"(217, 321, 320, 525)"
398,13.870,65.55,65.68,0.020,"(217, 321, 320, 525)"
399,13.902,65.38,65.52,0.018,"(217, 321, 320, 525)"
400,13.933,65.42,65.55,0.023,"(217, 321, 320, 525)"
401,13.966,65.58,65.70,0.021,"(217, 321, 320, 525)"
402,13.999,65.44,65.56,0.016,"(217, 321, 320, 525)"
403,14.032,65.43,65.56,0.018,"(217, 321, 320, 525)"
404,14.066,65.56,65.69,0.028,"(217, 321, 320, 525)"
405,14.099,65.55,65.69,0.024,"(217, 321, 320, 525)"
406,14.132,65.89,66.06,0.036,"(217, 321, 320, 525)"
407,14.166,66.02,66.24,0.026,"(217, 321, 320, 525)"
408,14.206,65.95,66.17,0.029,"(217, 321, 320, 525)"
409,14.238,66.20,66.42,0.029,"(217, 321, 320, 525)"
410,14.269,66.29,66.52,0.024,"(217, 321, 320, 525)"
411,14.302,66.10,66.33,0.029,"(217, 321, 320, 525)"
412,14.336,66.13,66.37,0.024,"(217, 321, 320, 525)"
413,14.366,66.23,66.47,0.023,"(217, 321, 320, 525)"
414,14.399,66.04,66.27,0.022,"(217, 321, 320, 525)"
415,14.433,66.12,66.36,0.021,"(217, 321, 320, 525)"
416,14.466,66.20,66.43,0.022,"(217, 321, 320, 525)"
417,14.499,66.01,66.25,0.029,"(217, 321, 320, 525)"
418,14.533,66.07,66.30,0.028,"(217, 321, 320, 525)"
419,14.566,66.23,66.47,0.022,"(217, 321, 320, 525)"
420,14.608,66.36,66.63,0.021,"(217, 321, 320, 525)"
