color_bbox_mean_r,color_bbox_mean_g,color_poly_mean_b,color_poly_std_b,hsv_bbox_mean_h,hsv_bbox_mean_s,hsv_poly_mean_h,hsv_poly_mean_s,hsv_poly_mean_v,color_bbox_entropy,color_poly_entropy,ir_cluster,level2_class
73.5,45.12,120.575,15.999,123.67,94.593,26.351,19.388,130.004,6.113,5.559,141.95,Dark oil
73.744,45.05,120.776,16.212,126.346,95.17,27.028,19.503,130.185,6.115,5.537,141.89,Dark oil
73.841,45.004,120.87,16.116,126.46,95.643,25.984,19.678,130.337,6.111,5.546,141.86,Dark oil
73.82,45.015,121.131,16.049,124.508,95.657,26.073,18.981,130.338,6.112,5.559,141.95,Dark oil
73.79,44.982,121.319,16.353,123.564,95.434,26.344,18.535,130.215,6.119,5.549,141.86,Dark oil
73.782,45.036,121.459,16.055,125.53,95.457,27.832,18.263,130.21,6.111,5.549,141.85,Dark oil
73.56,45.135,121.065,15.913,123.48,94.964,27.242,18.555,130.04,6.103,5.548,141.94,Dark oil
73.797,45.005,120.829,16.117,124.069,95.429,28.153,19.417,130.25,6.11,5.514,141.88,Dark oil
73.856,44.992,121.014,16.101,126.138,95.81,25.98,19.76,130.584,6.117,5.56,141.85,Dark oil
73.727,45.1,120.953,16.11,122.773,95.382,28.893,19.025,130.11,6.105,5.544,141.94,Dark oil
73.522,45.1,120.795,16.138,125.016,94.78,29.124,18.895,129.839,6.116,5.545,141.85,Dark oil
73.637,45.017,120.798,15.966,126.562,95.431,25.904,19.175,130.119,6.109,5.555,141.84,Dark oil
73.636,44.973,120.894,15.868,125.558,95.105,27.097,18.796,130.011,6.115,5.544,141.93,Dark oil
73.616,44.975,120.551,15.828,123.696,95.626,26.633,19.397,129.956,6.116,5.547,141.88,Dark oil
73.708,44.945,120.677,15.864,124.691,95.357,25.731,19.363,130.145,6.111,5.555,141.87,Dark oil
73.731,44.912,120.759,15.813,124.486,95.384,26.086,18.94,129.977,6.111,5.52,141.93,Dark oil
73.526,44.952,120.851,16.115,123.534,95.073,27.938,18.544,129.802,6.114,5.519,141.86,Dark oil
73.407,44.971,120.672,16.036,124.315,95.08,28.116,18.773,129.706,6.12,5.525,141.85,Dark oil
73.452,44.917,120.538,15.942,125.18,94.972,28.302,18.639,129.553,6.107,5.535,141.94,Dark oil
73.502,44.907,119.963,15.996,124.432,95.114,27.128,20.302,129.81,6.115,5.538,141.85,Dark oil
73.56,44.844,120.62,16.174,124.463,95.652,29.55,18.9,129.67,6.109,5.537,141.86,Dark oil
73.668,44.874,120.956,16.021,124.03,95.649,26.364,17.97,129.57,6.114,5.548,141.92,Dark oil
73.379,44.85,120.45,16.023,125.517,94.894,28.686,18.975,129.582,6.112,5.507,141.89,Dark oil
73.525,44.747,120.682,15.997,125.533,96.058,26.459,18.559,129.58,6.105,5.542,141.86,Dark oil
73.585,44.716,120.639,16.092,124.112,96.253,27.538,18.778,129.639,6.119,5.551,141.92,Dark oil
73.388,44.671,120.304,15.907,124.132,96.058,26.918,18.699,129.295,6.111,5.538,141.87,Dark oil
73.149,44.539,120.545,16.052,126.154,96.166,28.108,17.959,128.979,6.105,5.511,141.84,Dark oil
72.818,44.425,120.557,15.928,127.991,95.171,27.58,17.362,128.69,6.118,5.515,141.89,Dark oil
72.912,44.206,119.82,16.031,122.688,96.905,29.555,18.236,128.402,6.111,5.541,141.88,Dark oil
72.725,44.294,119.547,15.654,124.265,96.253,28.965,18.037,128.098,6.116,5.524,141.85,Dark oil
72.854,44.449,118.875,15.121,124.213,95.561,28.161,18.735,127.815,6.117,5.457,141.89,Dark oil
73.024,44.814,119.307,14.993,123.367,94.754,27.004,18.509,128.14,6.116,5.395,141.87,Dark oil
73.559,45.129,119.457,14.937,124.083,94.694,25.65,19.374,128.838,6.112,5.411,141.85,Dark oil
73.911,45.456,120.386,15.724,124.933,93.916,25.768,20.186,130.284,6.112,5.529,141.88,Dark oil
74.11,45.628,121.541,16.132,125.734,93.812,26.342,19.136,130.9,6.106,5.579,141.9,Dark oil
73.973,45.666,121.824,16.044,125.227,93.626,29.247,18.455,130.772,6.1,5.57,141.86,Dark oil
73.843,45.785,122.434,16.349,122.531,93.195,30.693,17.045,130.579,6.118,5.561,141.88,Dark oil
73.69,45.755,122.633,16.222,129.338,92.458,30.86,17.463,130.981,6.116,5.556,141.88,Dark oil
73.773,45.737,122.742,16.064,131.963,92.669,29.648,17.092,130.915,6.118,5.569,141.85,Dark oil
73.706,45.758,122.955,16.156,130.181,92.465,30.017,17.039,131.122,6.114,5.551,141.9,Dark oil
73.556,45.892,122.974,16.304,128.508,91.816,31.51,16.928,130.956,6.116,5.567,141.86,Dark oil
73.807,45.734,123.277,16.03,131.505,93.105,30.226,16.441,131.1,6.1,5.552,141.88,Dark oil
74.071,45.792,122.563,16.322,125.258,93.685,28.384,17.775,131.206,6.111,5.595,141.88,Dark oil
73.673,45.819,122.891,16.133,130.103,92.417,29.771,17.197,131.071,6.115,5.555,141.88,Dark oil
73.821,45.746,123.082,16.024,132.081,92.848,29.417,16.455,130.919,6.121,5.564,141.87,Dark oil
73.687,45.762,122.908,16.4,129.824,92.406,31.225,17.146,131.023,6.114,5.563,141.87,Dark oil
73.759,45.766,122.9,16.169,129.911,92.514,30.045,17.063,130.989,6.122,5.554,141.89,Dark oil
73.652,45.789,123.264,16.14,132.296,92.221,31.401,16.327,130.988,6.118,5.548,141.86,Dark oil
73.785,45.77,122.776,16.196,129.789,92.546,31.116,17.315,130.944,6.129,5.561,141.85,Dark oil
73.71,45.814,122.907,16.333,129.124,92.461,31.251,17.336,131.174,6.12,5.551,141.9,Dark oil
73.773,45.741,123.049,16.201,132.881,92.955,29.709,16.771,131.031,6.115,5.558,141.88,Dark oil
73.831,45.796,122.939,16.309,130.585,92.681,30.056,17.307,131.177,6.119,5.564,141.85,Dark oil
73.807,45.784,122.84,16.221,130.007,92.622,29.443,17.357,131.115,6.122,5.559,141.89,Dark oil
73.846,45.769,122.975,16.149,131.764,93.17,29.285,17.706,131.468,6.117,5.553,141.87,Dark oil
73.779,45.849,122.882,16.48,128.39,92.258,32.286,17.713,131.167,6.115,5.54,141.83,Dark oil
73.767,45.809,123.034,16.292,128.548,92.333,28.561,17.196,131.207,6.116,5.562,141.9,Dark oil
73.775,45.807,122.964,16.089,132.89,92.446,28.711,17.244,131.288,6.115,5.575,141.84,Dark oil
73.836,45.822,122.994,16.258,128.336,92.65,29.915,17.089,131.187,6.117,5.566,141.84,Dark oil
73.825,45.791,123.141,16.02,130.983,92.417,30.742,16.688,131.122,6.111,5.567,141.9,Dark oil
73.845,45.81,123.236,16.252,130.591,92.723,29.152,16.656,131.206,6.113,5.565,141.84,Dark oil
73.9,45.86,123.136,16.146,129.764,92.744,30.491,17.065,131.3,6.113,5.55,141.84,Dark oil
73.758,45.927,123.029,16.226,129.454,92.113,29.884,17.286,131.332,6.113,5.557,141.91,Dark oil
73.776,45.872,123.339,16.256,131.061,92.48,30.612,16.806,131.346,6.113,5.552,141.85,Dark oil
73.848,45.893,123.064,16.339,128.048,92.411,30.642,17.282,131.333,6.119,5.57,141.84,Dark oil
73.873,45.869,123.401,16.227,128.69,92.325,30.331,16.673,131.333,6.123,5.561,141.9,Dark oil
73.786,45.883,123.28,16.286,132.082,92.318,29.132,17.319,131.559,6.11,5.55,141.84,Dark oil
73.91,45.918,123.569,16.258,130.134,92.297,29.929,16.661,131.534,6.118,5.567,141.83,Dark oil
73.771,45.953,123.131,16.218,128.814,91.879,30.877,17.605,131.612,6.125,5.528,141.89,Dark oil
73.909,45.906,123.478,16.096,131.611,92.681,29.137,16.717,131.503,6.111,5.543,141.83,Dark oil
74.01,45.869,123.36,16.346,129.347,92.886,30.132,17.083,131.51,6.118,5.574,141.8,Dark oil
73.895,45.891,123.078,16.146,129.568,92.495,29.986,17.393,131.481,6.104,5.54,141.92,Dark oil
73.921,45.896,123.462,16.15,132.292,92.739,28.475,16.574,131.5,6.12,5.572,141.85,Dark oil
73.864,45.893,123.3,16.271,129.189,92.389,29.992,17.284,131.588,6.111,5.557,141.81,Dark oil
73.848,45.888,123.298,16.191,129.852,92.352,28.869,17.042,131.45,6.121,5.554,141.91,Dark oil
73.822,45.927,123.367,16.174,130.758,92.563,29.639,17.183,131.588,6.112,5.543,141.84,Dark oil
73.934,45.933,123.372,16.179,128.273,92.584,28.955,16.8,131.455,6.109,5.556,141.8,Dark oil
73.822,45.91,123.444,16.064,131.364,92.253,29.352,16.906,131.546,6.127,5.57,141.91,Dark oil
73.95,45.886,123.418,16.088,131.424,92.889,29.704,17.212,131.716,6.111,5.554,141.86,Dark oil
73.928,45.93,123.349,16.124,129.629,92.467,29.5,17.283,131.603,6.12,5.557,141.8,Dark oil
73.932,45.928,123.353,16.247,128.624,92.496,30.043,17.408,131.702,6.111,5.554,141.91,Dark oil
73.94,45.867,123.443,16.033,131.305,92.983,27.485,16.976,131.66,6.112,5.556,141.82,Dark oil
73.953,45.882,123.378,16.285,129.993,92.652,29.786,17.044,131.563,6.116,5.562,141.82,Dark oil
73.873,45.992,123.368,16.168,131.34,92.247,29.463,17.17,131.626,6.122,5.553,141.9,Dark oil
73.976,45.872,123.357,16.111,131.736,92.711,28.259,17.194,131.687,6.113,5.572,141.83,Dark oil
74.007,45.85,123.336,16.224,129.363,92.803,30.986,17.337,131.661,6.122,5.574,141.82,Dark oil
73.863,45.907,123.494,16.214,131.292,92.134,30.044,17.028,131.653,6.113,5.549,141.89,Dark oil
